Title,URL,Text
"Prabowo dan Jokowi Kunjungan ke Solo, Warga Solo Teriak Anies Presiden",https://turnbackhoax.id/2024/01/31/salah-prabowo-dan-jokowi-kunjungan-ke-solo-warga-solo-teriak-anies-presiden/,"Hasil periksa fakta Dyah FebriyaniBukan kunjungan ke Solo Jawa Tengah, melainkan kunjungan ke Pasar Bululawang Malang Jawa Timur. Pada video aslinya tidak ada teriakan “Anies Presiden” seperti pada klaim. PRABOWO KE SOLO WARGA SOLOH PILIH ANIES PRESIDEN ANIES, PRESIDEN ANIES “Akun TikTok @ibt.news mengunggah video yang mengklaim Jokowi dan Prabowo melakukan kunjungan ke Solo Jawa Tengah. Video itu memperlihatkan Jokowi dan Prabowo berada di kerumunan masyarakat yang menyambut kedatangannya dengan berteriak “Anies Presiden.” Unggahan itu sudah dilihat 1 juta pengguna TikTok sejak diunggah pada 16 Januari 2024.Setelah dilakukan penelusuran Google Image Search, ditemukan video yang identik saat Presiden Jokowi, Prabowo, dan Erick Thohir melakukan kunjungan ke Pasar Bululawang Malang Jawa Timur pada 24 Juli 2023 lalu. Video aslinya diunggah oleh kanal Youtube Harian Surya dengan judul “BREAKING NEWS : JOKO WIDODO, Prabowo, Erick Thohir, dan Khofifah Tiba di Pasar Bululawang Malang.”Selain itu, pada video asli kunjungan presiden ke Pasar Bululawang tidak ada teriakan “Anies Presiden, Anies Presiden” seperti yang ditampilkan pada klaim video TikTok @ibt.news. Justru warga antusias menyambut kedatangan Presiden dan dua menterinya itu. Dikutip dari Tribunnews.com, Tri Wulandari, warga Desa Sukonolo, Kecamatan Bululawang mengaku senang bisa bertemu dengan Jokowi. “Terharu, bisa ketemu Pak Jokowi, selama ini saya ingin bertemu dengannya,” ungkap Tri dengan singkat."
Akun Penipuan yang Mengatasnamakan Ganjar Pranowo di Tiktok,https://turnbackhoax.id/2023/12/23/salah-akun-penipuan-yang-mengatasnamakan-ganjar-pranowo-di-tiktok/,"Hasil periksa fakta Vendra PanjiTidak benar bahwa Ganjar Pranowo memiliki akun Tiktok yang berisi konten bagi-bagi hadiah, akun yang mengatasnamakan Ganjar tersebut dapat diindikasi sebagai akun penipuan. Tiktok   “YANG SUDAH PAKET LENGKAP LANGSUNG HUB WA DI BAWAH UNTUK PENGAMBILAN HADIAH 👇👇” Ditemukan sebuah akun Tiktok yang mengatasnamakan Ganjar Pranowo (@ganjar.pranowo.official), akun tersebut sudah banyak sekali mengunggah sebuah video yang berisi konten bagi-bagi hadiah.Salah satu contohnya adalah sebuah unggahan yang berisi foto Ganjar Pranowo dan Mahfud MD disertai narasi bahwa ia akan membagikan uang sebesar 20 juta untuk siapa saja yang mencoblos nomor urut 01.Sebagai informasi paslon Ganjar – Mahfud mendapat nomor urut 3, sedangkan nomor urut 1 dimiliki oleh paslon Anies – Cak imin. Selain itu kekeliruan lainnya adalah akun Tiktok resmi Ganjar bernama akun @ganjarpranowo bukan @ganjar.pranowo.official. Ganjar pun juga tidak mengunggah video di akunnya mengenai giveaway uang sebesar 20 juta rupiah.Sebelumnya di turnbackhoax.com juga sudah sering membahas isu serupa mengenai akun palsu yang mengaku sebagai Ganjar Pranowo sedang mengadakan giveaway uang tunai.Akun yang mengaku sebagai Ganjar tersebut jika kita cek profilnya maka pada bagian bio profilnya tertera sebuah link Whatsapp yang dapat dicurigai sebagai media untuk melakukan penipuan online.  : Ganjar Giveaway Uang 20 Juta di Tiktok"
Akun Tiktok Prabowo Bansos Bagikan Uang dengan Persyaratan Umur 30-60 Tahun,https://turnbackhoax.id/2024/01/26/salah-akun-tiktok-prabowo-bansos-bagikan-uang-dengan-persyaratan-umur-30-60-tahun/,"Hasil periksa fakta Vendra PanjiTidak benar bahwa Prabowo Subianto memberikan uang dengan persyaratan umur 30-60 tahun, akun yang mengatasnamakan Prabowo tersebut dapat diindikasi sebagai akun penipuan. Tiktok  (arsip) “UNTUK YANG UMUR 30-60 TAHUNSAYA AKAN BERIKAN BANTUANSm KATAKAN SAJA KALIAN BUTUHBERAPA SAYA JANJI AKAN LANGSUNG TRANSFER” Ditemukan sebuah akun Tiktok yang mengatasnamakan Prabowo Subianto mengunggah video yang berisi narasi bahwa ia akan membagikan uang sesuai kebutuhan untuk siapa saja yang berusia 35-60 tahun.Sebelumnya di turnbackhoax.com juga sudah sering membahas isu serupa mengenai akun bodong yang mengaku sebagai Prabowo Subianto sedang mengadakan giveaway uang tunai.Untuk mengonfirmasi kebenaran dari kabar tersebut apabila kita cek langsung ke sosial media resmi milik Prabowo Subianto, Instagram dan Facebook, tidak ditemukan postingan yang membenarkan hal ini. Selain itu Prabowo juga tidak mempunyai akun Tiktok, sehingga semua akun Tiktok yang mengatasnamakannya merupakan akun tiruan.  : Prabowo Subianto Menjanjikan Uang Kepada Pendukungnya[SALAH] Prabowo Subianto Bagi Uang 15 Juta"
BUPATI LUMAJANG AJAK SELURUH WARGANYA PILIH ANIES-MUHAIMIN DI PILPRES 2024,https://turnbackhoax.id/2023/10/24/salah-bupati-lumajang-ajak-seluruh-warganya-pilih-anies-muhaimin-di-pilpres-2024/,"Hasil periksa fakta Pekik Jalu Utomo.Faktanya tidak ditemukan pemberitaan terkait narasi yang beredar. Selain thumbnail merupakan hasil manipulasi, video tersebut hanya berisi cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan.  (Youtube)Mengejutkan bupati Lumajang ajak seluruh warganya pilih ANIES-MUHAIMIN di 2024MENGEJUTKAN…!!!!BUPATI LUMAJANG GERAK CEPATAJAK SELURUH WARGANYA PILIH ANIES-IMIN DI 2024Beredar sebuah video dari channel youtube bernama NEGARA POLITIK yang menampilkan gambar thumbnail panggung dengan baliho pasangan Anies-Muhaimin bernarasikan Bupati Lumajang ajak seluruh warganya untuk memilih pasangan Anies-Muhaimin di Pilpres 2024.Setelah dilakukan penelusuran, dari awal hingga akhir, video tersebut hanya menampilkan beberapa cuplikan video yang sama sekali tidak mendukung klaim narasi yang beredar.Narasi yang dibacakan dalam video tersebut bersumber dari artikel cnnindonesia.com berjudul “Pakar Respons Peluang Anies-Cak Imin Menang 70 Persen di Jatim” yang diunggah pada 9 Oktober 2023.Thumbnail yang menampilkan panggung dengan baliho Anies-Muhaimin identik dengan foto yang dimuat pada artikel kompas.com berjudul “Izin Dicabut, Konser Dangdut yang Digelar Wakil Ketua DPRD Tegal Terus Berjalan, Dihadiri Ribuan Orang”.Foto aslinya tidak menampilkan baliho Anies-Muhaimin, sehingga dapat dipastikan thumbnail tersebut meruoakan hasil manipulasi dari foto ketika warga menyaksikan pentas dangdut di tengah pandemi yang digelar salah satu pejabat di Lapangan Tegal Selatan Kota Tegal, Rabu, 23 September 2020.Berdasarkan penjelasan di atas, klaim narasi yang menyatakan Bupati Lumajang ajak seluruh warganya untuk memilih pasangan Anies-Muhaimin di Pilpres 2024 tidak terbukti dan termasuk ke dala konten yang dimanipulasi."
Prabowo Subianto Disematkan Pin Kepresidenan sebelum Dilantik Jadi Presiden,https://www.kominfo.go.id/content/detail/55042/hoaks-prabowo-subianto-disematkan-pin-kepresidenan-sebelum-dilantik-jadi-presiden/0/laporan_isu_hoaks,"Beredar unggahan di media sosial X/Twitter yang memperlihatkan foto Presiden Joko Widodo (Jokowi) dan Prabowo Subianto yang mengenakan sebuah pin yang sama pada bagian dada sebelah kiri. Foto tersebut mengeklaim bahwa Prabowo Subianto sudah mengenakan pin kepresidenan meski saat ini masih aktif menjadi Menteri Pertahanan (Menhan) dan Presiden Jokowi masih aktif menjabat sebagai presiden.Dilansir dari turnbackhoax.id, klaim bahwa Prabowo Subianto mengenakan pin kepresidenan sebelum menjadi presiden adalah tidak benar. Faktanya, presiden maupun menteri, keduanya sama-sama diberikan sebuah pin pita tanda jabatan. Dilansir dari Permensesneg No. 1/2016, dijelaskan bahwa presiden dan para menteri sama-sama diberikan sebuah pin tanda jabatan yang memiliki sedikit perbedaan. Tanda jabatan presiden/wakil presiden terbuat dari bahan yang kuat, berwarna emas, dan berbentuk lingkaran yang terdiri dari unsur-unsur bintang beserta kapas dan padi, sedangkan tanda jabatan untuk menteri berbentuk lingkaran yang terdiri dari unsur-unsur perisai dalam lambang negara, kapas dan padi, serta pita bertuliskan “NAYAKA”."
ARTIS-ARTIS TOP INDONESIA SERENTAK DUKUNG GANJAR,https://turnbackhoax.id/2024/01/29/salah-artis-artis-top-indonesia-serentak-dukung-ganjar/,"Hasil periksa fakta Pekik Jalu Utomo.Judul, thumbnail dan isi video tidak berkaitan. Selain Thumbnail merupakan hasil manipulasi, video tersebut hanya berisi beberapa cuplikan video yang tidak mendukung klaim narasi.  (Youtube)MENGEJUTKAN !! ARTIS-ARTIS TOP TANAH AIR MENDADAK DUKUNG GANJAR CAPRES,ANIES KEPANASAN LIHAT INI.SERENTAK DUKUNG GANJARARTIS-ARTIS TOP SE INDONESIA DEKLARASI GANJAR 2024Chennel youtube bernama AKTUAL membagikan video yang menampilkan gambar thumbnail sebuah panggung dengan baliho Ganjar-Mahfud di samping kanan kiri bernarasikan artis-artis top Indonesia serentak dukung Ganjar dan membuat Anies kepanasan.Setelah dilakukan penelusuran, narator dalam video tersebut hanya membacakan artikel dari beritasatu.com berjudul “Konser Meriah Jadi Saksi Deklarasi Warga Malang Dukung Ganjar-Mahfud” yang dimuat pada 14 januari 2024.Artikel tersebut membahas tentang sahabat Ganjar dan puluhan ribu warga Malang deklarasi dukungan kepada Paslon Ganjar-Mahfud pada konser yang betajuk Pesta Rakyat Ganjar-Mahfud di Halaman Stadion Kanjuruhan, Kabupaten Malang, Jawa Timur, Sabtu, 12 Januari 2024.Thumbnail yang menampilkan panggung dengan baliho Ganjar-Mahfud di samping kanan kiri tersebut mirip dengan gambar yang terdapat pada situs gigonthegreenyateley.co.uk.Pada gambar aslinya, baliho yang berada di samping kanan kiri panggung bertulisan Gig on the Green dan bukan baliho Ganjar-Mahfud.Gig on the Green merupakan sebuah pertunjukan konser musik yang akan diselenggarakan di Yateley, Inggris pada Sabtu, 29 Juni 2024 dan Minggu, 30 Juni 2024 mendatang.Berdasarkan penjelasan di atas, klaim narasi dari channel youtube AKTUAL yang menyatakan artis-artis top Indonesia serentak dukung Ganjar dan membuat Anies kepanasan tidak terbukti dan termasuk ke dalam konten yang dimanipulasi."
Artikel Anies tidak akan lanjutkan semua program Jokowi jika jadi presiden,https://www.antaranews.com/berita/3598620/misinformasi-artikel-anies-tidak-akan-lanjutkan-semua-program-jokowi-jika-jadi-presiden,"Partai NasDem mendeklarasikan Anies Baswedan sebagai bakal calon Presiden 2024 pada 3 Oktober 2022 lalu. Sebuah unggahan Twitter menarasikan Anies tidak akan melanjutkan semua program Presiden Jokowi jika ia terpilih menjadi Presiden di 2024 mendatang. Berikut narasi dalam unggahan tersebut: “Ngeri ka’le ini tanda2 ga’benar akan kelaut, kelanjutan itu sangat penting apa lagi 82 % Rakyat Indonesia terCinta merasa puas dengan K e r j a K e r a s Bpk Joko Widodo Presiden RI ke 7 MERDEKANamun, benarkah Anies menyatakan jika ia terpilih menjadi presiden tidak akan melanjutkan semua program Presiden sebelumnya?” Tangkapan layar misinformasi yang menyatakan Anies tidak akan melanjutkan semua program Jokowi jika jadi presiden. Faktanya, unggahan tangkapan layar tersebut merupakan editan. (Twitter) Berdasarkan penelusuran ANTARA, tangkapan layar media tersebut merupakan editan. Judul asli berita media Fajar yang berjudul “Anies Baswedan Tegaskan Tidak Semua Program Jokowi Akan dilanjutkan Jika Jadi Presiden”. Dalam berita tersebut dinarasikan Anies Baswedan menyatakan bahwa tidak semua program yang sudah dijalankan Jokowi akan dilanjutkan jika jadi presiden. Menurutnya, pemilu nanti bukan ajang untuk memberikan garansi meneruskan kinerja pemerintahan periode 2024-2029. pemilu adalah upaya untuk merebut kekuasaan dengan komitmen memperbaiki atau meluruskan jalan yang jadi tujuan bangsa dan negara. Sehingga, ketika proyek pembangunan Jokowi selama ini ada yang tidak sesuai dengan tujuan bangsa dan negara, maka tak mungkin dilanjutkan. Dengan demikian, artikel yang menyatakan Anies tidak akan melanjutkan semua program Jokowi jika jadi presiden merupakan keliru. Faktanya, artikel tersebut merupakan editan. Artikel Anies tidak akan lanjutkan semua program Jokowi jika jadi presiden Misinformasi"
Prabowo sakit hingga dirawat di RSPAD pada awal Februari,https://www.antaranews.com/berita/3944796/hoaks-prabowo-sakit-hingga-dirawat-di-rspad-pada-awal-februari,"Sebuah cuitan di media sosial X menarasikan capres nomor urut dua Prabowo Subianto terkena stroke dan dirawat di Rumah Sakit Pusat Angkatan Darat (RSPAD) Gatot Soebroto Jakarta. Berikut narasi dalam unggahan tersebut: “Gara2 joget pada tempat nya, PRABOWO dikabarkan stroke, lagi dirawat di RSPAD hahaha” Namun, benarkah Prabowo sakit stroke hingga dirawat di RSPAD? Unggahan hoaks yang menarasikan Prabowo sakit stroke hingga dirawat di RSPAD. Faktanya, Kepala RSPAD Gatot Soebroto Letnan Jenderal TNI dr. Albertus Budi Sulistya menyatakan klaim tersebut hoaks. (X) Calon presiden nomor urut dua Prabowo Subianto menepis isu dirinya sakit dengan tampil energik dan berjoget bersama warga saat menghadiri kampanye nasional Partai Demokrat di Stadion Gajayana, Kota Malang, Jawa Timur, Kamis. Prabowo diketahui tiba di lokasi kampanye pada pukul 15.18 WIB. Secara terpisah, Wakil Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran, Afriansyah Noor, mengatakan kabar yang menyebut Prabowo sakit adalah hoaks.Ia memastikan Prabowo dalam kondisi sehat. ""Informasi itu hoaks. Pak Prabowo sampai saat ini masih sehat-sehat saja,” kata Afriansyah Noor, dilansir dari ANTARA. Kepala RSPAD Gatot Soebroto Letnan Jenderal TNI dr. Albertus Budi Sulistya juga mengatakan hal senada. Menurut dia, informasi tentang Prabowo dibawa ke RSPAD akibat kelelahan usai kampanye adalah tidak benar. ""Tidak benar, itu hoaks,"" kata Albertus dalam keterangan tertulis yang sama. Prabowo sakit stroke hingga dirawat di RSPAD Hoaks"
Video Khofifah deklarasi jadi cawapres Anies Baswedan,https://www.antaranews.com/berita/3540012/disinformasi-video-khofifah-deklarasi-jadi-cawapres-anies-baswedan,"Sebuah unggahan video di Facebook muncul di Facebook menampilkan Gubernur Jawa Timur Khofifah Indar Parawansa yang diklaim mendeklarasikan diri sebagai calon wakil presiden pendamping Anies Baswedan. Unggahan itu menyebut Khofifah sebagai calon wapres yang diusung Partai Nasional Demokrat (NasDem). Video awal yang muncul sejak Februari 2023 itu diunggah ulang di sejumlah akun Facebook hingga awal Mei, dan telah diputar hingga lebih dari 3.000 kali. Berikut narasi dalam video berdurasi satu menit tersebut: “NEWS VIRAL HARI INI ~ Baru 2 Februari 2023 ~ Khofifah Cawapres Anies Siap Deklarasi, Demokrat AHY” Namun, benarkah Gubernur Jawa Timur Khofifah Indar Parawansi mendeklarasikan diri sebagai bakal calon wakil presiden 2024 mendampingi Anies Baswedan? Unggahan video hoaks yang menarasikan deklarasi Khofifah Indar Parawansa sebagai bakal calon wakil presiden 2024 bersama Anies Baswedan. Faktanya, video tersebut hanya membahas pendapat pengamat politik Tony Rasyud apabila Khofifah menjadi cawapres pendamping Anies. (Facebook) Berdasarkan penelusuran, video tersebut bukan menampilkan deklarasi Khofifah sebagai bakal calon wakil presiden Anies Baswedan. Unggahan itu justru membahas pendapat pengamat politik Tony Rasyud apabila Khofifah menjadi cawapres pendamping Anies pada Pilpres 2024, seperti terdapat dalam berita Warta Ekonomi. Gubernur Jawa Timur Khofifah Indar Parawansa, seperti terdapat pada unggahan di Facebook itu, menanggapi tentang dirinya yang masuk dalam bursa cawapres dan bukan mendeklarasikan diri. Khofifah sempat terkejut saat mengetahui namanya berpotensi mendampingi Anies Baswedan ataupun Prabowo Subianto, sebagai calon presiden dalam Pemilu 2024. Pernyataan Khofifah di Facebook itu serupa dengan unggahan YouTube “Ekspresi Khofifah Indar Parawansa saat Tanggapi Namanya Masuk Bursa Bakal Cawapres Prabowo dan Anies”. Dengan demikian, klaim bahwa Khofifah mendeklarasikan diri sebagai bakal calon wakil presiden pendamping Anies Baswedan merupakan keliru atau hoaks. Video Khofifah deklarasi jadi cawapres Anies Baswedan Disinformasi"
Foto Jokowi temui Anies dan tawarkan Gibran jadi bakal cawapres,https://www.antaranews.com/berita/3694824/hoaks-foto-jokowi-temui-anies-dan-tawarkan-gibran-jadi-bakal-cawapres,"Sebuah unggahan video di YouTube menarasikan bahwa Presiden Jokowi menemui bakal calon presiden dari Koalisi Perubahan untuk Persatuan Anies Baswedan yang bertujuan untuk menawarkan anaknya Gibran Rakabuming Raka menjadi bakal calon wakil presiden. Foto dalam thumbnail video tersebut menampilkan Jokowi, Gibran dan Anies sedang berbincang disebuah ruangan. Berikut narasi dalam video tersebut: “Tak punya malu !! Jkw temui & tawarkan putranya jadi cawapres anies” Namun, benarkah Jokowi temui Anies dan tawarkan Gibran jadi bakal cawapres Anies Baswedan? Unggahan video hoaks yang menarasikan Jokowi temui Anies untuk menawarkan Gibran menjadi Cawapres Anies. Faktanya, isi video tidak sesuai dengan judul. (YouTube) Berdasarkan penelusuran, isi video tersebut tidak ada narasi Jokowi menemui Anies dan menawarkan Gibran menjadi bacawapres Anies. Selain itu, foto dalam thumbnail video tersebut merupakan editan. Foto aslinya serupa dengan unggahan foto di laman InfoPublik yang berjudul “Presiden Bertemu Gubernur dan Wagub DKI Jakarta”. Dalam unggahan tersebut diberi keterangan Presiden Joko Widodo pada Rabu, 25 Oktober 2017, menerima kunjungan Gubernur dan Wakil Gubernur DKI Jakarta Anies Baswedan dan Sandiaga Uno di Istana Merdeka Jakarta. Presiden didampingi Sekretaris Kabinet Pramono Anung, Menteri Perhubungan Budi Karya Sumadi, serta Menteri Pekerjaan Umum dan Perumahan Rakyat Basuki Hadimuljono yang membahas setidaknya enam topik, utamanya terkait persiapan Asian Games 2018. Dengan demikian, unggahan yang menarasikan Jokowi temui Anies dan tawarkan Gibran jadi Cawapres merupakan hoaks. Foto Jokowi temui Anies dan tawarkan Gibran jadi bakal cawapres Hoaks"
