Title,URL,Text
"Ditanya Soal Pengungsi Rohingya, Ini Jawaban Anies",http://nasional.kompas.com/read/2023/12/22/18234581/ditanya-soal-pengungsi-rohingya-ini-jawaban-anies,"Calon presiden nomor urut 1, Anies Baswedan menyinggung Pulau Galang yang pernah dijadikan tempat mengungsi warga Vietnam pada saat terjadi perang saudara 1980. Hal itu disinggung Anies saat ditanya nasib pengungsi Rohingya yang terkatung-katung di perairan Aceh Utara dan ditolak oleh sebagian masyarakat Aceh. ""Pengalaman dulu Indonesia ketika memiliki pulau Galang, di tempat itulah manusia-manusia perahu dari Vietnam ditampung. Di satu sisi peran kemanusiaan dikerjakan, di sisi lain tidak melakukan disrupsi atas kegiatan masyarkat yang ada,"" ujar Anies dalam acara Desak Anies di Aryaduta, Gambir, Jakarta Pusat, Jumat (22/12/2023). Anies mengatakan, pernah memiliki pengalaman menampung pengungsi saat menjabat sebagai Gubernur DKI Jakarta. Ia menampung banyak pengungsi dari Afganistan sebagai peran ikut serta menjaga perdamaian dunia. ""Dan sebagai warga dunia, kita ambil tanggungjawab. Ketika ada orang datang ke tanah kita, maka kita melakukan aktivitas kemanusiaan, karena mereka ada sesama manusia yang kita ada tanggungjawab,"" ucap dia. Namun ketika pengungsi Afganistan ini berbaur dengan masyarakat sekitar, terjadi konflik horizontal. Oleh karena itu, dia menginginkan kedepan ada tempat permanen layaknya Pulau Galang yang dibuka khusus untuk pengungsi Vietnam puluhan tahun lalu. ""Sekarang, nampaknya ke depan kita harus menyiapkan tempat yang semi permanen, kenapa? karena sepertinya peristiwa seperti ini kelihatannya akan terus berulang terjadi. Ketika berulang terjadi kita harus siap antisipasi, secara anggaran memungkinkan, hanya ada kemauan atau tidak,"" kata Anies. ""Kalau saya kita siapkan tempat khusus untuk itu sehingga mereka terlindungi tapi kita juga masyarakat tidak terganggu,"" tandasnya."
"Debat Capres Terakhir, Ganjar Ungkit Kritik Tokoh sampai Kampus soal Praktik Demokrasi",http://nasional.kompas.com/read/2024/02/04/20053011/debat-capres-terakhir-ganjar-ungkit-kritik-tokoh-sampai-kampus-soal-praktik,"Calon presiden (capres) nomor urut 3 Ganjar Pranowo menyatakan kritik dari sejumlah tokoh sampai kampus terkait keresahan tentang netralitas pemerintah dalam Pilpres 2024 mestinya menjadi perhatian bagi para pejabat. Hal itu disampaikan Ganjar dalam pemaparan visi misi debat kelima Pilpres 2024 di Jakarta Convention Center, Jakarta, Minggu (4/2/2024). ""Tentu saja keresahan yang muncul baik dari Gus Mus, Muhammadiyah, Romo Franz Magnis, Goenawan Mohammad dan kampus-kampus mesti menjadi catatan kita bersama bahwa kita dalam konteks ber-Indonesia, berbudaya semua harus dalam koridor yang baik,"" kata Ganjar. Menurut Ganjar, pemimpin seharusnya mendengarkan aspirasi rakyat dan bersikap adil. Ganjar juga kembali mengulang jargonnya saat menjadi Gubernur Jawa Tengah. ""Tuanku adalah rakyat, jabatan ini hanyalah mandat,"" ujar Ganjar."
"Naik Turun Elektabilitas Ganjar, Sempat Pimpin Bursa Capres Kini di Posisi Ketiga",http://nasional.kompas.com/read/2023/12/12/06150021/naik-turun-elektabilitas-ganjar-sempat-pimpin-bursa-capres-kini-di-posisi,"Hasil survei terbaru Litbang Kompas pada Senin (11/12/2023) terkait elektabilitas para calon presiden-calon wakil presiden (Capres-Cawapres) cukup mengejutkan. Dari survei digelar pada 29 November sampai 4 Desember 2023 itu memperlihatkan elektabilitas pasangan capres-cawapres nomor urut 3 Ganjar Pranowo-Mahfud MD disalip oleh pasangan nomor urut 1 Anies Baswedan-Muhaimin Iskandar. Menurut hasil survei Litbang Kompas, elektabilitas Anies Baswedan-Muhaimin Iskandar tercatat mencapai 16,7 persen, menyalip Ganjar Pranowo-Mahfud MD yang berada pada angka 15,3 persen. Sedangkan elektabilitas pasangan nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka masih yang tertinggi yakni sebesar 39,3 persen. Hasil Litbang Kompas itu cukup mengejutkan karena elektabilitas Ganjar sejak masih berada dalam bursa bakal capres kerap saling salip dengan Prabowo. Akan tetapi, Litbang Kompas juga memaparkan saat ini terdapat 28,7 persen responden yang belum menentukan pilihan atau merahasiakan pilihan mereka. Menurut Litbang Kompas, melebarnya jarak elektabilitas Ganjar dari Prabowo tak lepas dari pergeseran dukungan yang terjadi pada pemilih Partai Demokrasi Indonesia Perjuangan (PDI-P) dan pemilih Presiden Joko Widodo. Soliditas dukungan dari orang-orang yang pada Pemilu 2019 memilih PDI-P kepada Ganjar yang pada Agustus 2023 mencapai 60,6 persen sekarang tinggal 40,7 persen. Sebaliknya, pemilih PDI-P yang memberikan suaranya kepada Prabowo cenderung meningkat, dari 22,1 persen menjadi 35,1 persen. Survei Litbang Kompas melibatkan 1.364 responden yang dipilih secara acak menggunakan metode pencuplikan sistematis bertingkat di 38 provinsi di Indonesia. Metode tersebut tersebut memiliki tingkat kepercayaan 95 persen dan margin of error lebih kurang 2,65 persen dalam kondisi penarikan sampel acak sederhana. Survei dibiayai sepenuhnya oleh Harian Kompas. Menurut beberapa survei Litbang Kompas sebelumnya, elektabilitas Ganjar pernah berada di puncak bursa capres. Contohnya pada Januari 2023 elektabilitas Ganjar berada di angka 25,3 persen. Ketika itu, proporsi pemilih pemula yang mendukung Ganjar terdapat sebanyak 22,4 persen. Kemudian, menurut survei pada Mei 2023, elektablitas Ganjar turun menjadi 22,8 persen. Proporsi pemilih pemula yang mendukung Ganjar juga turun menjadi 20,9 persen. Saat itu elektabilitas Prabowo yang sempat tertinggal justru menyalip Ganjar, yakni mencapai 24,5 persen."
BERITA FOTO: Momen Jokowi dan Iriana Nyoblos di Pemilu 2024,http://nasional.kompas.com/read/2024/02/14/11253811/berita-foto-momen-jokowi-dan-iriana-nyoblos-di-pemilu-2024,"Presiden Joko Widodo didampingi Ibu Iriana Joko Widodo menggunakan hak pilihnya di Tempat Pemungutan Suara (TPS) 10, Kecamatan Gambir, Jakarta Pusat, pada Rabu (14/2/2024). Tiba sekitar pukul 08.48 WIB, Presiden dan Ibu Iriana langsung menuju meja pendaftaran untuk mengisi daftar hadir. Presiden dan Ibu Iriana kemudian duduk sejenak seraya menunggu giliran untuk menuju bilik pencoblosan. Tak lama, Presiden dan Ibu Iriana dipanggil dan menerima sejumlah kertas suara yang akan dicoblos. Presiden dan Ibu Iriana terlebih dahulu membuka dan memeriksa kertas suara sebelum masuk ke bilik suara. Usai mencoblos, Presiden dan Ibu Iriana memasukkan surat suara ke masing-masing kotak suara yang telah disediakan. Tidak lupa, Presiden dan Ibu Iriana menyelupkan jari kelingking ke dalam tinta sebagai tanda telah menggunakan hak pilih dalam Pemilu 2024. ""Alhamdulillah baru saja saya bersama dengan Ibu Iriana telah melakukan pencoblosan dalam rangka Pemilihan Presiden-Wakil Presiden, kemudian DPR RI, DPD RI, dan DRPD Jakarta,"" ujar Presiden dalam keterangannya kepada wartawan usai pencoblosan. dok. Sekretariat Presiden Ibu Negara Iriana Joko Widodo yang berada di samping Presiden Joko Widodo menunjukkan surat suara kepada wartawan sebelum mencoblos di TPS 10 Gambir, Jakarta Pusat pada Rabu (14/2/2024). Presiden pun berharap Pemilu kali ini dapat menjadi pesta demokrasi bagi rakyat Indonesia. Selain itu, pemilu juga dapat berjalan dengan jujur dan adil, serta langsung, umum, bebas, rahasia (luber). ""Ini adalah pesta demokrasi, kita berharap ini betul-betul menjadi pestanya rakyat dan juga berlangsung dengan jurdil, dengan luber, dan diikuti oleh seluruh rakyat Indonesia dengan kegembiraan karena ini adalah pestanya rakyat, pesta demokrasi,"" ucap Presiden. Seusai memberikan suara dan menyampaikan keterangan pers, Kepala Negara dan Ibu Negara meninggalkan TPS 10 sekitar pukul 09.02 WIB. Keduanya langsung menuju Istana Kepresidenan, Jakarta. dok. Sekretariat Presiden Presiden Joko Widodo dan Ibu Iriana Joko Widodo saat memasukkan surat suara ke kotak suara setelah mencoblos untuk Pemilu 2024 di TPS 10 Gambir, Jakarta Pusat, Rabu (14/2/2024). Adapun putra sulung Presiden Jokowi dan Ibu Iriana, Gibran Rakabuming Raka menjadi peserta dalam Pemilu 2024 ini. Gibran merupakan calon wakil presiden (cawapres) nomor urut 3, yang mendampingi calon presiden (capres) Prabowo Subianto. Sementara itu, putra bungsu Presiden Jokowi dan Ibu Iriana yakni Kaesang Pangarep merupakan Ketua Umum Partai Solidaritas Indonesia (PSI). PSI juga merupakan salah satu parpol peserta pemilu kali ini. dok. Sekretariat Presiden Presiden Joko Widodo dan Ibu Iriana Joko Widodo menunjukkan jari kelingking yang sudah dicelup ke tinta sebagai tanda sudah menggunakan hak suara untuk Pemilu 2024 di TPS 10 Gambir, Jakarta Pusat, Rabu (14/2/2024)."
"Ditanya Anies soal Kasus Kanjuruhan dan Kilometer 50, Ganjar: Pemerintah Musti Berani...",http://nasional.kompas.com/read/2023/12/12/22020551/saat-ganjar-anggap-prabowo-dan-anies-tengah-buka-kartu-dan-tagih-janji,"Calon presiden (capres) nomor urut 3, Ganjar Pranowo menganggap capres nomor urut 1 Anies Baswedan dan capres nomor urut 2 Prabowo Subianto tengah membuka kartu masing-masing. Hal itu disampaikan saat ketiganya mengikuti debat capres di kantor Komisi Pemilihan Umum (KPU) RI, Jakarta, Selasa (12/12/2023) malam. “Saya jadi tidak enak ini Mba hari ini. Mohon maaf, saya tidak enak, karena dua kawan saya lagi nagih janji dan buka buku lama,” ujar Ganjar. Awalnya, capres nomor urut 1, Anies menjawab soal pertanyaan panelis terkait penguatan sistem partai politik (parpol). Namun, mantan Gubernur DKI Jakarta itu mengungkapkan bahwa persoalan saat ini lebih dari sekedar urusan parpol, tapi masyarakat tak percaya dengan demokrasi. “Saya rasa lebih dari sekedar parpol, rakyat tidak percaya kepada proses demokrasi yang sekarang terjadi. Itu jauh lebih luas dari sekedar partai politik,” jawab Anies. Anies kemudian juga menyinggung adanya pasal karet untuk menkriminalisasi pihak yang mengkritisi pemerintah. Saat mendapatkan jatah untuk menanggapi, capres nomor urut 2 Prabowo mengatakan bahwa Anies terlalu berlebihan menkritik demokrasi di Tanah Air. Ia menegaskan bahwa Anies tak mungkin terpilih menjadi Gubernur DKI Jakarta jika demokrasi di Indonesia buruk. Pasalnya, Anies diusung oleh Partai Gerindra yang kala itu merupakan oposisi pemerintah. “Saya yang mengusung bapak. Kalau demokrasi kita tidak berjalan, tidak mungkin Anda jadi gubernur. Kalau Jokowi (Joko Widodo) diktator Anda tidak mungkin jadi gubernur,” kata Prabowo pada Anies. “Saya waktu itu oposisi Mas Anies. Anda ke rumah saya. Kita oposisi, anda terpilih,” ujarnya lagi."
"Andi Widjajanto Ungkap Titik Pembeda Ganjar dan Jokowi, Singgung Manuver Pencalonan Gibran",http://nasional.kompas.com/read/2023/12/22/13350691/andi-widjajanto-ungkap-titik-pembeda-ganjar-dan-jokowi-singgung-manuver,"Deputi Politik 5.0 Tim Pemenangan Nasional (TPN) Ganjar-Mahfud, Andi Widjajanto mengungkapkan titik pembeda antara capres nomor urut 3 Ganjar Pranowo dengan Presiden Joko Widodo. Meski belakangan Ganjar kerap berupaya mengasosiakan diri dengan sosok Jokowi terkait program hingga cara blusukan, namun ada satu titik yang jadi pembeda antara dua tokoh itu. ""Titik beda kami dengan Pak Jokowi, saat ini adalah kami tidak bisa menerima manuver-manuver politik yang berada di sekitarpencalonan Mas Gibran,"" kata Andi dalam tayangan Gaspol! Kompas.com, dikutip Jumat (22/12/2023). Andi mengakui, pihaknya hingga belum bisa menerima manuver politik untuk mensukseskan putra presiden Joko Widodo, Gibran Rakabuming Raka, sebagai cawapres mendampingi Prabowo Subianto. Gibran yang baru berusia 36 tahun itu bisa mendaftar sebagai cawapres setelah Mahkamah Konstitusi yang diketuai oleh pamannya, Anwar Usman, mengabulkan perubahan syarat batas usia capres/cawapres. Belakangan, Anwar Usman dinyatakan melanggar kode etik dalam proses pengambilan putusan itu, dan dicopot dari jabatan Ketua MK. Andi menilai, upaya pencalonan Gibran dengan melakukan manuver politik itu jelas telah menciderai demokrasi. Sementara, sosok Ganjar secara tegas ingin menjaga demokrasi yang telah terbangun selama ini. Andi menjelaskan, rasa tidak terima itu kemudian ditunjukkan Ganjar kepada capres nomor urut 2 Prabowo Subianto dalam debat capres perdana, 12 Desember lalu. ""Ya makanya di debat satu, Mas Ganjar bertanya tentang Mahkamah Konstitusi, itu untuk menunjukkan titik beda itu. Itu titik beda kami dengan Pak Jokowi, tentang demokrasi,"" jelas Andi. Andi pun mengaku kaget karena isu yang sama ditanyakan oleh capres nomor urut 1 Anies Baswedan kepada Prabowo. Bahkan, menurut dia, Anies bertanya lebih detail dan menyinggung soal etik kepada Prabowo. ""Mas Anies melanjutkan pertanyaan itu dengan lebih detail, yang kemudian mendapatkan sambutan luar biasa dari Mas Gibran, ya saat debat itu, itu menunjukkan titik bedanya kami 03 dengan Pak Jokowi yang kemudian ternyata diamplifikasi oleh Mas Anies selama debat itu,"" pungkasnya."
"Mengaku Pasrah Saat Ditanya Deg-degan atau Tidak, Prabowo: Apa Pun Keputusan Tuhan, Saya Terima",http://nasional.kompas.com/read/2024/02/14/14555081/mengaku-pasrah-saat-ditanya-deg-degan-atau-tidak-prabowo-apa-pun-keputusan,"Capres nomor urut 2 Prabowo Subianto mengaku pasrah terkait hasil Pemilu 2024 saat ditanya apakah dirinya deg-degan atau tidak. Prabowo menyebutkan, dirinya menerima semua keputusan dari Allah SWT. Hal tersebut Prabowo sampaikan usai mencoblos di TPS 033 Bojong Koneng, Hambalang, Jawa Barat, Rabu (14/2/2024). ""Saya pasrah. Saya pasrah, apa pun keputusan Yang Maha Kuasa, saya terima,"" ujar Prabowo. Prabowo menjelaskan, ini bukanlah pemilu pertama yang dia lewati. Dia menyatakan mengutamakan rakyat di atas kepentingan segalanya. ""Saya yang penting rakyat. Saya enggak peduli orang, pasti orang yang takut sama saya pasti cari semua, apa sih takutnya dari saya? Saya ingin menegakkan kebenaran kok mereka takut? Saya ingin hilangkan korupsi mereka takut,"" tuturnya. Prabowo menegaskan hanya ingin melihat rakyat sejahtera dan tidak ada yang kelaparan lagi. Dia mencontohkan, orang-orang yang sudah tua pun tidak boleh lagi masih berjuang untuk hidup dengan menarik becak. ""Itu keinginan saya. Apa yang ditakuti? Saya enggak takut kok, saya membela kebenaran. Saya enggak perlu apa-apa lagi, saya hanya mau membela kebenaran. Saya mau bela, saya tidak mau lihat orang miskin di Indonesia,"" imbuh Prabowo."
"Ditanya Gibran Masuk Golkar, Airlangga: Terus Berproses",http://nasional.kompas.com/read/2023/10/25/13013381/3-eks-kapolri-dukung-prabowo-gibran-maju-pada-pilpres-2024,"JAKARTA, KOMPAS.com – Sejumlah purnawirawan jenderal polisi turut mendukung pasangan bakal calon presiden (capres) dan calon wakil presiden (cawapres), Prabowo Subianto dan Gibran Rakabuming Raka, mendaftarkan diri ke Komisi Pemilihan Umum (KPU) RI. Adapun Prabowo dan Gibran resmi mendaftarkan diri ke KPU RI pada Rabu (25/10/2023) hari ini. Sebelum mendaftarkan diri, keduanya sempat menyapa para relawannya di Hall Indonesia Arena di kawasan Gelora Bung Karno (GBK), Jakarta. Prabowo pun mengapresiasi kehadiran semua pihak yang mendukungnya, termasuk tiga mantan Kapolri. “Tiga mantan Kapolri Jenderal (Purn) Polisi Sutarman, Jenderal (Purn) Polisi Idham Aziz, Jenderal (Purn) Polisi Sutanto,” kata Prabowo usai mendaftarkan diri di KPU, Jakarta, Rabu siang. Selain itu, Prabowo juga menyampaikan apresiasi kepada sejumlah tokoh nasional lainnya, di antaranya Ketua Dewan Pertimbangan Presiden Republik Indonesia ke-5 Jenderal TNI (Purn) Wiranto serta eks KSAU Marsekal TNI (Purn) Imam Sufaat. Tak hanya itu, ia menyampaikan apresiasi kepada tokoh-tokoh agama yang turut hadir, termasuk Habib Luthfi bin Yahya. “Juga tokoh religus, tokoh agama Habib Luthfi bin Yahya yang telah membacakan doa pada saat kami ada di Stadion Indonesia Arena. Kami ucapkan tima kasih kepada semua unsur yang sudah bekerja keras mengantar kami ke sini,” ujar Prabowo. Diketahui, Prabowo dan Gibran didukung oleh Koalisi Indonesia Maju (KIM) yang terdiri dari sembilan partai. Kesembilan partai itu adalah Partai Gerindra, Partai Golkar, Partai Amanat Nasional (PAN), Partai Demokrat, Partai Bulan Bintang (PBB), Partai Gelora, Partai Garuda, Prima, dan Partai Solidaritas Indonesia (PSI). Setelah resmi mendaftar, Prabowo-Gibran dijadwalkan menjalani pemeriksaan kesehatan menyeluruh yang difasilitasi KPU RI di Rumah Sakit Pusat Angkatan Darat (RSPAD) Gatot Subroto, Jakarta, Kamis (26/10/2023) besok. Sejalan dengan itu, KPU RI akan melakukan pemeriksaan atau verifikasi terkait dokumen persyaratan pendaftaran yang diserahkan pasangan Prabowo-Gibran dn dua pasangan lain sebelumnya, Anies-Muhaimin, Ganjar-Mahfud. Jika ada dokumen yang tidak memenuhi kelengkapan, KPU RI mempersilakan bakal capres-cawapres dan tim untuk menyerahkan dokumen perbaikan pada 26 Oktober hingga 1 November 2023. Dokumen perbaikan itu akan diverifikasi kembali sampai 2 November 2023 dan diberi tahu hasilnya pada 3 November 2023. Jika bakal capres-cawapres masih tidak memenuhi syarat, maka partai politik pengusung harus mengusulkan calon pengganti dengan tenggat waktu 8 November 2023."
Wakil Ketua KPK Cerita Tetangganya Terima 6 Amplop Saat Pemilu 2024,http://nasional.kompas.com/read/2024/03/20/21502011/wakil-ketua-kpk-cerita-tetangganya-terima-6-amplop-saat-pemilu-2024,"Wakil Ketua Komisi Pemberamtasan Korupsi (KPK) Alexander Marwata mengungkapkan tetangganya mendapatkan empat sampai enam amplop ketika momentum pemilihan umum (Pemilu) 2024. Hal itu Alex ungkapkan ketika menjelaskan mengenai praktik money politic di masa pemilu yang menurutnya mengonfirmasi kajian KPK bahwa orang memilih calon pemimpin karena uang. Saat itu, Alex tengah menyampaikan pemaparan dalam acara Rapat Koordinasi Nasional dan Peluncuran Monitoring Center for Prevention (MCP) di Gedung Juang KPK, Jakarta. ""Saya dengar dari orang yang bekerja di rumah saya dan tetangga-tetangga. Cerita kemarin dapat amplop sampai lima, ada yang bilang empat, apa enam,"" kata Alex, Rabu (20/3/2024). ""Dijumlahkan secara total Rp 1 juta lebih Bapak, Ibu sekalian, untuk satu orang,"" ujarnya lagi. Mantan Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) itu kemudian bertanya kepada tetangganya, siapa calon presiden yang dipilih. Menurut Alex, tetangganya menjawab bahwa mereka memilih siapa saja yang memberikan uang, termasuk jika ketiga pasangan calon presiden dan calon wakil presiden (capres-cawapres). Padahal, hal itu membuat surat suara tidak sah. ""Terus kamu milih siapa?"" tanya Alex menceritakan percakapannya. ""Pokoknya yang ngasih duit saya pilih, Pak Alex, kalau tiga tiganya kasih saya coblos semua,"" lanjut Alex menirukan jawaban tetangganya. Alex lantas berkelakar bahwa tetangganya pintar karena dia tidak membohongi pihak tim sukses yang memberikan uang. Alex mengatakan, salah satu persoalan yang menjadi sorotan pada masa Pemilu selain politik uang adalah tindakan membanjiri masyarakat dengan bantuan sosial (bansos). Pihaknya telah menduga tindakan tersebut dan berkaca pada hasil riset bahwa masyarakat cenderung memilih pemimpin yang memberikan sesuatu. ""Menjelang Pilpres kan banjir bansos dan masyarakat senang sekali dan kita sudah menduga hal itu pasti terjadi,"" kata Alex. Oleh karena itu, pada 2024 ini salah satu program MCP fokus memantau pelaksaan anggaran hibah, bansos, dan pokok pikiran (Pokir). Dia meminta para Sekretaris Daerah (Sekda) hingga Inspektur Jenderal (Irjen) Kementerian Dalam Negeri (Kemendagri) mengecek perbedaan anggaran bansos 2024 dan tahun sebelumnya. Alex pun berharap Kementerian Dalam Negeri atau pemerintah daerah menerbitkan aturan yang melarang penyaluran bansos jelang pemilihan kepala daerah (Pilkada) pada November 2024 mendatang. ""Coba upayakan bapak ibu sekalian, Pak Sekjen, Pak Inspektur. Jangan ada penyaluran bansos sebelum Pilkada,"" ujar Alex."
Kapolri Imbau Warga yang Tak Puas Hasil Pemilu Gugat Lewat MK,http://nasional.kompas.com/read/2024/02/14/13323451/kapolri-imbau-warga-yang-tak-puas-hasil-pemilu-gugat-lewat-mk,"Kapolri Jenderal Listyo Sigit Prabowo menyebutkan, pihaknya membolehkan pihak yang tidak puas dengan hasil Pemilihan Umum (Pemilu) 2024 turun ke jalan untuk menyampaikan protes. Meski demikian, unjuk rasa di jalanan itu tetap harus dilakukan sesuai ketentuan dan tidak bertindak anarkistis. ""Turun ke jalan boleh, namun tentunya dilakukan secara terukur tidak anarkis dan membahayakan masyarakat dan orang lain,"" ujar Sigit usai meninjau kesiapan Pasukan Pengamanan Pemilu Operasi Mantap Brata di Monas, Jakarta Pusat, Rabu (14/2/2024). Sigit berharap masyarakat yang tidak puas dengan hasil pemilu menggunakan saluran resmi, yakni melalui Komisi Pemilihan Umum (KPU), Badan Pengawas Pemilu (Bawaslu), dan Mahkamah Konstitusi (MK). Meski demikian, pihak kepolisian siap melakukan pengamanan bagi mereka yang tidak puas dan turun ke jalan. Masyarakat yang protes dan melanggar aturan akan ditindak. ""Kita mengantisipasi potensi yang kemudian melakukannya dengan cara-cara yang tidak sesuai dengan aturan, TNI-Polri akan mengamankan masyarakat sehingga hal-hal yang akan terjadi pengalaman 2019 kita minimalisir di tahun 2024 ini,"" tutur Sigit. Tantangan Petugas Quick Count Pemilu 2024: Ditolak Responden hingga Minim Akses ke TPS Sebagai informasi, pada hari ini masyarakat seluruh wilayah di Indonesia mengikuti proses pemungutan suara pemilihan presiden, calon anggota DPR RI, DPRD, dan DPD. Meski demikian, terdapat sejumlah wilayah yang terdapat bencana alam dan situasi yang tidak kondusif. Masyarakat setempat disebut dijadwalkan melakukan pemungutan suara susulan."
