Title,URL,Text,Label
CEK FAKTA: Dana Transfer dari Pusat ke Solo Lebih Besar Sebelum Gibran Jadi Wali Kota,http://nasional.kompas.com/read/2023/12/22/22470991/kpu-akan-tegur-gibran-lagi-karena-kembali-kompori-timses-saat-debat,"Komisi Pemilihan Umum (KPU) RI akan kembali menegur calon wakil presiden (cawapres) nomor urut 2, Gibran Rakabuming Raka, melalui timnya karena lagi-lagi mengompori pendukungnya dalam acara debat perdana cawapres, Jumat (22/12/2023). ""Nanti kita ingatkan lagi, kita tegur lagi, pada evaluasi hasil debat yang kedua ini,"" kata Ketua KPU RI Hasyim Asy'ari ditemui selepas debat. Ia berujar, KPU pasti akan menggelar pertemuan lanjutan dengan tim pasangan capres-cawapres dan masing-masing tim dipersilakan mengajukan sejumlah catatan dan evaluasi terkait debat sebelumnya. ""KPU akan mendengarkan dan kemudian akan mengambil keputusan apa-apa yang perlu kita evaluasi, termasuk memperingatkan kembali tampilan-tampilan yang boleh dikatakan sudah disepakati untuk tidak dilakukan pada saat debat ini,"" jelas Hasyim. Namun demikian, ia tetap menepis niatan untuk memberikan konsekuensi bagi calon yang melanggar kesepakatan dalam debat. Ia menyinggung soal kedewasaan masing-masing calon selaku orang yang berkompetisi untuk meraih tampuk kekuasaan tertinggi. ""Sebetulnya ini kan komitmen ya, komitmen antar calon dan kami menganggap masing-masing calon kan orang yang secara politik sudah dewasa semua tentang apa yang sudah disepakati itu,"" ungkap Hasyim. Sebelumnya diberitakan, Gibran kembali menunjukkan gestur membakar semangat pendukungnya pada acara debat cawapres, Jumat (22/12/2023). Hal itu terjadi selepas segmen 2, setelah seluruh cawapres mendapatkan giliran menjawab pertanyaan panelis dan menanggapi satu sama lain, menuju commercial break. Putra sulung Presiden Joko Widodo itu berbalik badan menghadap pendukungnya dari unsur Tim Kampanye Nasional (TKN) Prabowo-Gibran di belakang panggung, lalu menunjukkan gestur agar para pendukungnya bersorak lebih keras. Ada Prabowo juga di sana. Gestur ini sama persis dengan yang ia tunjukkan waktu debat perdana capres di kantor KPU RI, 12 Desember lalu. Bedanya, gestur yang ditunjukkan Gibran malam ini lebih santai dan tidak emosional. Padahal, KPU RI sudah pernah menegur Gibran melalui timnya saat rapat evaluasi debat perdana capres. Ketika itu, Gibran bangkit berdiri dari kursinya untuk membangkitkan emosi penonton setelah Prabowo membelanya soal putusan Mahkamah Konstitusi (MK). Dalam debat itu, Prabowo sempat ditanya capres nomor urut 1 Anies Baswedan soal perasaannya ketika mengetahui Putusan MK terkait syarat pencalonan presiden melibatkan pelanggaran etika berat eks Ketua MK Anwar Usman yang merupakan paman Gibran.",1
"Nilai Pasangan Ganjar-Mahfud Tak Perlu Disingkat, Hasto: Nanti Rakyat Bingung",http://nasional.kompas.com/read/2023/10/19/17055541/nilai-pasangan-ganjar-mahfud-tak-perlu-disingkat-hasto-nanti-rakyat-bingung,"Sekretaris Jenderal (Sekjen) PDI-P Hasto Kristiyanto menilai bahwa pasangan calon presiden dan calon wakil presiden (capres-cawapres) Ganjar Pranowo-Mahfud MD tidak perlu memiliki singkatan nama untuk kampanye 2024. Menurutnya, kedua nama yang dimiliki oleh Ganjar dan Mahfud sudah sangat bagus dan menyentuh masyarakat. ""Ya, kalau Ganjar-Mahfud bagus. Karena kalau di TPS (tempat pemungutan suara) kan enggak bisa disingkat,"" kelakar Hasto ditemui di depan kediaman Megawati Soekarnoputri, Jalan Teuku Umar, Jakarta, Kamis (19/10/2023). Kendati begitu, Hasto mengatakan, pihaknya tetap akan menyesuaikan dengan ketentuan terkait nama di kertas suara. Apalagi, ia menyampaikan lagi bahwa nama pasangan calon (paslon) dalam kertas surat suara tidak bisa disingkat. ""Nanti, bingung rakyat kalau disingkat-singkat,"" ujar Hasto. Lebih lanjut, Hasto beralih menjawab pertanyaan seputar agenda Ganjar-Mahfud terdekat yakni tes kesehatan di Rumah Sakit Pusat Angkatan Darat (RSPAD) Gatot Soebroto. Agenda itu bakal dilakukan pada Minggu (22/10/2023). Ganjar-Mahfud pun disebut sudah siap menghadapi tes kesehatan. ""Karena kedua-duanya fit. Ya, mungkin ada yang deg-degan dengan tes kesehatan. Tapi, kalau Pak Ganjar, Pak Mahfud MD sangat fit,"" kata Hasto. Sebelumnya, Ganjar Pranowo mengaku belum menentukan nama singkatan dirinya dan Mahfud MD. Ganjar mengatakan, pihaknya akan melibatkan masyarakat untuk menentukan singkatan yang akan digunakan oleh pasangan Ganjar-Mahfud. ""Nanti dulu toh, kita akan ajak masyarakat lagi kira-kira cocoknya apa,"" kata Ganjar di Kantor KPU, Jakarta, Kamis (19/10/2023). Ganjar mengungkapkan, sudah ada beberapa usul nama singkatan. Tetapi, ia masih ingin menerima berbagai usul lainnya. ""Sudah muncul beberapa singkatan, barangkali yang ada di sini akan bisa usul, tentu akan bisa kita terima dengan senang hati,"" kata mantan gubernur Jawa Tengah itu. Sebagaimana diberitakan, Ganjar-Mahfud resmi mendaftar sebagai paslon peserta pemilihan presiden (Pilpres) 2024, pada Kamis siang.",1
Prabowo-Gibran Ditetapkan sebagai Pemenang Pilpres 2024,http://nasional.kompas.com/read/2024/03/20/22233821/prabowo-gibran-ditetapkan-sebagai-pemenang-pilpres-2024,"Komisi Pemilihan Umum (KPU) RI menetapkan pasangan calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka sebagai pemenang Pemilu Presiden (Pilpres) 2024. Penetapan dilakukan setelah rekapitulasi hasil penghitungan dan perolehan suara tingkat nasional dinyatakan selesai pada Rabu (20/3/2024) pukul 22.19 WIB. Rekapitulasi meliputi perolehan suara di 38 provinsi dan 128 wilayah luar negeri. Prabowo-Gibran dinyatakan menang atas dua pasangan calon lainnya dengan selisih cukup jauh. Paslon nomor urut 2 ini dinyatakan memperoleh 96.214.691 suara atau sekitar 58,58 persen dari seluruh suara sah nasional. Sementara itu, pasangan capres-cawapres nomor urut 1 Anies Baswedan-Muhaimin Iskandar mengantongi 40.971.906 suara atau sekitar 24,95 persen dari seluruh suara sah nasional dan capres-cawapres nomor urut 3 Ganjar Pranowo-Mahfud MD mengoleksi 27.040.878 suara atau sekitar 16,47 persen dari seluruh suara sah nasional. Dengan hasil ini, Prabowo-Gibran di atas kertas memenangi Pilpres 2024 satu putaran. Sebagai informasi, dari hasil rekapitulasi, jumlah suara sah 164.227.475 suara. Hasil Pilpres 2024 ini dituangkan KPU RI dalam Keputusan Nomor 360 Tahun 2024. ""Memutuskan, menetapkan Keputusan KPU tentang Penetapan Hasil Pemilihan Umum Presiden dan Wakil Presiden, anggota Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah, Dewan Perwakilan Rakyat Daerah Provinsi, dan Dewan Perwakilan Rakyat Daerah Kabupaten/Kota secara nasional dalam Pemilihan Umum Tahun 2024,"" kata Ketua KPU RI Hasyim Asy'ari di kantor KPU RI, Menteng, Jakarta Pusat. Pengumuman hasil Pemilu 2024 turut dihadiri oleh Menteri Dalam Negeri (Mendagri) Tito Karnavian, Menteri Koordinator Politik, Hukum, dan Hak Asasi Manusia (Menko Polhukam) Hadi Tjahjanto, Kepala Badan Intelijen Negara (BIN) Budi Gunawan, serta jajaran Badan Pengawas Pemilu (Bawaslu) RI.",1
"Grace Natalie Raih Suara Terbanyak di Dapil DKI Jakarta III, tapi Terancam Gagal ke Senayan",http://nasional.kompas.com/read/2024/03/20/13175271/grace-natalie-raih-suara-terbanyak-di-dapil-dki-jakarta-iii-tapi-terancam,"Wakil Ketua Dewan Pembina Partai Solidaritas Indonesia (PSI) Grace Natalie mendapat suara terbanyak pada Pemilu Legislatif (Pileg) 2024 daerah pemilihan (dapil) DKI Jakarta III. Di dapil yang meliputi Jakarta Barat, Jakarta Utara, dan Kabupaten Kepulauan Seribu itu, Grace meraup 193.556 suara. PSI sendiri total mendulang 305.291 suara di dapil DKI Jakarta III. Artinya, Grace menyumbang lebih dari separuh suara PSI di dapil tersebut. Suara Grace bahkan melampaui sejumlah caleg petahana, seperti Wakil Ketua Komisi III DPR RI Ahmad Sahroni. Bendahara Umum Partai Nasdem itu mendulang 163.292 suara. Grace juga mampu mengungguli dua petahana PDI Perjuangan, yakni Wakil Ketua Komisi IX DPR RI Charles Honoris yang mendapat 97.016 suara dan anggota Komisi VI DPR RI Darmadi Durianto yang memperoleh 95.533 suara. Suara Grace di dapil DKI Jakarta III juga unggul jauh dibandingkan dengan keponakan Ketua Umum Partai Gerindra Prabowo Subianto, Rahayu Saraswati Djojohadikusumo, yang mendulang 52.932 suara. Meski mendapatkan suara tertinggi, Grace belum tentu lolos ke parlemen. Ini bergantung apakah PSI mampu memenuhi ambang batas parlemen atau parliamantary threshold 4 persen atau tidak. Menurut hasil quick count sejumlah lembaga, PSI gagal melaju ke Senayan karena suaranya tak sampai 4 persen. Hasil quick count Litbang Kompas, misalnya, mencatat suara partai pimpinan Kaesang Pangarep itu sebesar 2,80 persen. Berapa pun perolehan suara caleg, jika partainya tak lolos parliamentary threshold, caleg tersebut tidak akan mendapat kursi di DPR. Adapun para caleg di dapil DKI Jakarta III ini memperebutkan 8 kursi DPR RI. Berikut 8 caleg di dapil DKI Jakarta III yang diprediksi lolos ke parlemen menurut penghitungan metode konversi suara Sainte Lague: Partai Gerindra Rahayu Saraswati Djojohadikusumo: 52.932 suara PDI-P Charles Honoris: 97.016 suara Darmadi Durianto: 95.553 suara Partai Golkar Erwin Aksa: 186.897 suara Partai Nasdem Ahmad Sahroni: 163.292 suara PKS",1
"Para Kades di Temanggung Ikut Rakor Pemenangan Prabowo, Apa Kata Bawaslu?",http://nasional.kompas.com/read/2024/02/04/23522401/tkn-benarkan-eks-menkes-terawan-dukung-prabowo-gibran,"JAKARTA, KOMPAS.com - Sekretaris Tim Kampanye Nasional (TKN) Prabowo-Gibran, Nusron Wahid membenarkan bahwa mantan Menteri Kesehatan (Menkes) Terawan Agus Putranto resmi mendukung pasangan calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka. Hal ini diungkapkan Nusron usai ajang debat kelima pemilihan presiden (Pilpres) di Jakarta Covention Center (JCC) Senayan, Jakarta, Minggu (4/2/2024). ""Ya Pak Terawan mendukung kami,"" kata Nusron saat dikonfirmasi di JCC. Namun, menurut Nusron, Terawan tidak tergabung jajaran TKN. KOMPAS.com / VITORIO MANTALEAN Sejumlah wajah baru tampak menghiasi barisan pendukung calon presiden nomor urut 2, Prabowo Subianto, dalam debat pamungkas. Pantauan Kompas.com, beberapa wajah baru itu tak masuk ke dalam struktur Tim Kampanye Nasional (TKN) Prabowo-Gibran. Ada eks Menteri Kesehatan, Terawan Agus Putranto, di barisan tersebut. Ia duduk didampingi eks Kepala Staf Angkatan Darat (KSAD, Dudung Abdurrachman. Di barisan yang duduk tepat di belakang Prabowo itu, hadir pula Menteri Komunikasi dan Informatika, Budi Arie Setiadi, yang juga merupakan Ketua Umum Projo (Relawan Pro Jokowi). Terawan disebut hanya mendukung gagasan dari Prabowo-Gibran. ""Ya pokoknya mendukung lah. Yang mendukung kan enggak harus ditempatkan,"" ujar Nusron. Diketahui, Terawan Agus Putranto terlihat hadir di lokasi debat kelima Pilpres di JCC Senayan, Minggu. Kedatangan Terawan terpantau saat dokter spesialis radiologi itu mengantre untuk masuk ke dalam ruangan debat pilpres sebelum acara dimulai. Terawan tampak menggunakan jaket warna biru muda dan celana hitam dan berkumpul dengan para pendukung Prabowo-Gibran yang memakai jaket warna senada. Awak media yang mengenali Terawan pun langsung memanggilnya. ""Pak Terawan, Pak Terawan,"" panggil wartawan. Terawan pun tersenyum dan melambaikan tangan kanannya kepada awak media. Tak lama kemudian, dokter kepresidenan kepercayaan Presiden Joko Widodo (Jokowi) itu masuk ke ruangan debat pilpres. Selain Terawan, tampak hadir pula mantan Kepala Staf Angkatan Darat (KSAD) Jenderal (Purn) Dudung Abdurrachman yang juga memakai jaket warna biru muda. Untuk diketahui, salah satu tema yang diangkat dalam debat kelima Pilpres adalah kesehatan.",1
"Disebut Mahfud Saat Debat Cawapres, Apa Itu Tri Hita Karana?",http://regional.kompas.com/read/2024/01/21/201000178/disebut-mahfud-saat-debat-cawapres-apa-itu-tri-hita-karana,"KOMPAS.com - Calon Wakil Presiden (Cawapres) nomor urut 3 Mahfud MD menyebut ada tiga hal yang akan menentukan masa depan Indonesia yakni Tuhan, manusia dan alam. Ia juga menyebut kearifan lokal masyarakat Bali yakni Tri Hita Karana. Dikutip dari baliprov.go.id, konsep tata ruang tradisional Bali didasarkan pada prinsip Tri Hita Karana yang menggambarkan tiga unsur penyebab kemakmuran, kesenangan, kelestarian, dan kebaikan dalam kehidupan manusia. Dalam bahasa Bali, Tri Hita Karana secara harfiah berarti tiga kesejahteraan yang terdiri dari parhyangan yakni hubungan dengan Ketuhanan. Lalu pawongan yakni hubungan manusia dengan manusia dan juga palemahan, wilayah tempat manusia hidup. Parhyangan, unsur pertama dalam konsep Tri Hita merujuk pada aspek-aspek yang mengatur hubungan manusia dengan yang Maha Kuasa. Dalam konteks Bali, parhyangan dipengaruhi oleh agama Hindu yang mengajarkan pemujaan pada Hyang Widhi. Sementara itu dalam tata ruang tradisonal tercermin dalam kuil-kuil yang tersebar di Bali dan menjadi pusat spiritual dan kehidupan masyarakat. Konsep kedua yakni pawongan yang berkaitan hubungan antar manusia dalam masyarakat. Desa-desa dan komunitas ini diatur sedemikian. Hal ini tercermin dalam desain desa yang mempromosikan interaksi sosial seperti ruang terbuka umum dan balai desa. Konsep ketiga adalah palemahan yang merujuk wilayah tempat manusia hidup dan berinteraksi dengan lingkungannya. Hal ini tercermin dalam desain rumah tradisional, sawah terasering dan pola penggunaan lahan yang ramah lingkungan. Konsep ini mengajarkan tentang menjaga dan melestarikan alam sehingga manusia dapat hidup dalam keseimbangan dengan alam.",1
Anies Imbau Pendukungnya Jaga TPS Saat Penghitungan Suara,http://nasional.kompas.com/read/2024/02/14/10523391/ahy-pastikan-hadir-kawal-quick-count-bersama-prabowo-gibran-di-istora,"Ketua Umum (Ketum) Partai Demokrat Agus Harimurti Yudhoyono (AHY) memastikan akan hadir untuk mengawal perhitungan cepat atau quick count bersama calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 2, Prabowo Subianto-Gibran Rakabuming Raka, di Istora Senayan, Jakarta Pusat, Rabu (14/2/2024). Pengawalan quick count itu rencananya dihadiri Prabowo, Gibran, Tim Kampanye Nasional (TKN), dan partai-partai dari Koalisi Indonesia Maju (KIM). “Saya merapat untuk bersama-sama dengan TKN, bersama dengan Pak Prabowo dan Mas Gibran, dan kami berharap bisa ikut mengikuti penghitungan suara, mengawal suara, dan mudah-mudahan nanti kami bisa mendapat kabar yang baik,” kata AHY usai mencoblos di di tempat pemungutan suara (TPS) 101 yang terletak di Sekolah Dasar Negeri (SDN) Bapem, Cipete Utara, Kebayoran Baru, Jakarta Selatan, Rabu. “Saya akan datang juga ke Istora sebagai bentuk kebersamaan dan soliditas dari Koalisi Indonesia Maju,” ujarnya lagi. AHY juga optimistis Prabowo-Gibran bisa menang pada pemilihan presiden (Pilpres) 2024. “Kami optimistis menang. Mengapa? Karena masyarakat juga sangat menantikan Pak Prabowo menjadi presiden,” kata AHY. Sebelum ke Istora, AHY mengaku akan memantau quick count yang digelar DPP Partai Demokrat. Dia pun menargetkan Demokrat memperoleh suara “doubel digit” atau di atas 10 persen pada pemilihan umum (Pemilu) 2024 untuk anggota legislatif. “Kami berharap bisa menyentuh doubel digit-lah untuk kursi kami di DPR RI. Untuk DPRD provinsi dan kabupaten/kota juga kami berharap ada peningkatan yang signifikan dari raihan kami pada (Pemilu) 2019 lalu,” ujar AHY. “Selebihnya saya lepaskan semuanya. Yang jelas Demokrat yang lalu itu kan 54 kursi DPR RI, itu kalau dikonversi 9,7 persen,” katanya lagi. Pada Pemilu 2024 ini, AHY menargetkan sekitar 70 kursi di DPR RI.",1
Putusan MK soal Batas Usia Capres-Cawapres Dinilai Sarat Syahwat Politik,http://nasional.kompas.com/read/2023/10/19/05300051/putusan-mk-soal-batas-usia-capres-cawapres-dinilai-sarat-syahwat-politik,"Pusat Riset Politik Badan Riset dan Inovasi Nasional (PRP BRIN) menyatakan keputusan Mahkamah Konstitusi yang mengabulkan sebagian gugatan perkara usia minimal calon presiden dan calon wakil presiden dalam Undang-Undang Nomor 7 Tahun 2017 tentang Pemilihan Umum sarat dengan kepentingan politik pragmatis. ""Hal ini mengindikasikan kepentingan politik pragmatis syahwat kekuasaan dalam keputusan yang diambil oleh MK,"" kata salah satu peneliti utama PRP BRIN, Siti Zuhro, melalui keterangan pers yang dikutip pada Rabu (18/10/2023). Polemik terjadi setelah MK memutuskan menerima sebagian gugatan perkara Nomor 90/PUU-XXI/2023 yang diajukan oleh seorang mahasiswa Universitas Surakarta, Almas Tsaqibbirru Re A. Dia merupakan anak dari Koordinator Masyarakat Anti Korupsi Indonesia (MAKI) Boyamin Saiman. Ketua Mahkamah Konstitusi Anwar Usman membacakan putusan itu dalam sidang di Gedung MK, Jakarta Pusat, Senin (16/10/2023) lalu. Putusan MK dalam gugatan itu membolehkan seseorang yang pernah menjabat sebagai kepala daerah atau pejabat negara lainnya, yang dipilih melalui pemilu, bisa mencalonkan diri sebagai presiden atau wakil presiden meski berusia di bawah 40 tahun. Salah satu figur politikus yang disebut-sebut diuntungkan dengan putusan MK itu adalah Gibran yang merupakan putra sulung Jokowi. Anak sulung Presiden Joko Widodo (Jokowi) itu dalam sepekan lalu mendominasi pemberitaan karena dianggap layak disandingkan sebagai bakal calon wakil presiden (cawapres). Bahkan di beberapa daerah muncul baliho sampai reklame yang memampang wajah Gibran bersebelahan dengan foto bakal capres dari Koalisi Indonesia Maju (KIM) Prabowo Subianto. Padahal saat ini Gibran merupakan kader Partai Demokrasi Indonesia Perjuangan (PDI-P). Partai berlambang banteng bermoncong putih itu sudah mengusung Ganjar Pranowo dan Mahfud MD sebagai bakal capres-cawapres. Sebelum putusan MK, peluang Gibran masuk ke dalam bursa Pilpres 2024 masih tertutup karena usianya belum memenuhi persyaratan. Namun, kini setelah putusan itu maka jalan buat Gibran sangat terbuka. Menurut Siti, persoalan syarat batasan usia capres atau cawapres merupakan open legal policy (kebijakan hukum terbuka) yang menjadi kewenangan pembuat undang-undang yaitu DPR bersama-sama dengan presiden. Prinsip yang diterapkan sama halnya dengan sistem pemilu yang sudah diputuskan oleh MK dalam putusan terdahulu. Siti mengatakan, yang mengejutkan adalah MK memutuskan syarat usia capres dan cawapres bukan open legal policy sehingga MK merasa berhak memeriksa dan memutus perkara tersebut. Padahal, lanjut Siti, sebagai ketentuan dalam ruang lingkup open legal policy, semestinya aturan batasan usia capres dan cawapres dibuat oleh pembuat undang-undang, melalui proses pembuatan legislasi yang berlaku. Yakni secara saksama, penuh dengan pertimbangan dari segala aspek, terbuka, transparan, akuntabel, inklusif dengan melibatkan partisipasi masyarakat secara bermakna, dan dilakukan diluar tahapan pemilu. Siti juga menyorot penambahan frasa “…atau pernah/sedang menduduki jabatan yangdipilih melalui pemilihan umum termasuk pemilihan kepala daerah” dapat memberikankesempatan pada kelompok muda. Menurut dia, penambahan frasa itu menjadi problematik karena permohonan ini diajukan pada masa injury time atau mendekati masa pendaftaran calonan capres dan cawapres Pemilu 2024. ""Terlebih lagi, putusan MK ini dikeluarkan 3 hari sebelum jadwal pendaftaran capres dan cawapres 2024. Jelas, putusan MK ini digulirkan serba terburu-buru, mengejar waktu sebelum tahapan pencalonan presiden dan wakil presiden dimulai,"" ucap Siti.",1
Penegakan Hukum Era Jokowi Dianggap Jadi Pembahasan yang Dinanti dalam Debat Capres,http://megapolitan.kompas.com/read/2023/12/12/20080811/penegakan-hukum-era-jokowi-dianggap-jadi-pembahasan-yang-dinanti-dalam,"Peneliti di Pusat Kajian Anti Korupsi (Pukat) Fakultas Hukum Universitas Gadjah Mada (UGM) Zaenur Rohman mengatakan, analisis para calon presiden (capres) terhadap penegakan hukum di era Presiden Joko Widodo (Jokowi) menjadi sesuatu yang dinanti dalam debat perdana para kandidat. Terutama soal merosotnya indeks persepsi korupsi dalam sembilan tahun pemerintahan Jokowi. ""Kita ingin dengar bagaimana pandangan dari masing-masing capres ketika judgement terhadap performa dari pemerintah dalam aspek penegakan hukum. Khususnya merosotnya Indeks Persepsi Korupsi,"" kata Zaenur saat berbincang dengan Kompas.com, Selasa (12/12/2023). Menurut dia, ketiga pasangan ini memiliki keterkaitan langsung dengan presiden ketujuh Indonesia itu. Apalagi, ada dua menteri Jokowi di sana, yakni Menteri Pertahanan Prabowo Subianto dan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Mahfud MD. ""Menariknya, tiga capres ini semuanya ada korelasinya dengan Presiden Jokowi. Bahkan ada anaknya presiden ikut pemilu. Salah satu menterinya juga ikut Pilpres, yang bertugas untuk membawahi bidang hukum,"" ujar Zaenur. Zaenur melanjutkan, inilah bagian yang menarik untuk menyimak solusi-solusi yang ditawarkan dari setiap capres, mengingat situasi penegakan hukum Indonesia masih suram. Ditambah lagi pemberantasan korupsi yang dianggap masih jauh tertinggal di era kepemimpinan Jokowi. ""Ketika melakukan analisis permasalahan, berarti sedang menilai apa yang dijalankan oleh Presiden Jokowi dalam kurun waktu sembilan tahun terakhir,"" ujar dia.",1
Kaesang Optimistis PSI Melenggang ke Senayan,http://megapolitan.kompas.com/read/2024/02/14/12381411/kaesang-optimistis-psi-melenggang-ke-senayan,"Ketua Umum Partai Solidaritas Indonesia (PSI) Kaesang Pangarep optimistis partainya bisa duduk di kursi parlemen. “Saya yakin PSI bisa masuk ke Senayan (DPR RI), insyaAllah,” ujar dia kepada wartawan usai mencoblos di salah satu TPS kawasan Apartemen Taman Rasuna, Setiabudi, Jakarta Selatan, Rabu (14/2/2024). Keyakinan itu, kata Kaesang, timbul karena survei internal yang dilakukan PSI. Dalam survei tersebut, PSI digadang-gadang bisa memperoleh suara hingga 6 persen. Adapun syarat partai bisa masuk parlemen pada pemilu 2024 adalah jika meraup suara minimal 4 persen. “Survei internal kami berada di angka 5,1-6 persen, tapi saya harap bisa lebih baik angkanya,” tutur dia. Kaesang mengungkap, tingginya angka survei PSI di parlemen disebabkan beberapa faktor. Salah satunya adalah pemilih yang loyalis terhadap sang ayah sekaligus Presiden RI Joko Widodo (Jokowi). “Banyak pemilih Pak Presiden yang milih PSI, banyak yang migrasi. Selain itu, ada juga pemilih dari partai lain yang migrasi untuk pilih PSI,” ungkap dia.",1
