Title,URL,Text
Anies Mengaku Sudah Kumpulkan Bukti Kecurangan Pilpres untuk Dibawa ke MK,http://nasional.kompas.com/read/2024/03/21/00015101/anies-mengaku-sudah-kumpulkan-bukti-kecurangan-pilpres-untuk-dibawa-ke-mk,"Calon presiden nomor urut 1 Anies Baswedan menyatakan pihaknya memutuskan mengumpulkan dugaan kecurangan Pilpres 2024, alih-alih menyebarkan agitasi di masyarakat.
Pernyataan ini Anies sampaikan bersama calon wakil presidennya, Muhaimin Iskandar saat merespons keputusan Komisi Pemilihan Umum (KPU) yang menyatakan mereka kalah Pilpres 2024.
Penyelenggara Pemilu menyatakan pasangan calon presiden dan wakil presiden nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka sebagai pemenang.
 
""Ketika melihat penyimpangan demokrasi maka langkah yang dilakukan bukanlah marah-marah lalu melakukan agitasi kepada publik,"" kata Anies sebagaimana disiarkan di YouTube Anies Baswedan, Rabu (20/3/2024).
Anies menyatakan, pihaknya memutuskan mengumpulkan berbagai bukti dugaan kecurangan Pilpres 2024 secara hati-hati. Bukti-bukti itu Bahkan divalidasi agar akurat.
 
Tindakan ini, menurutnya, dilakukan karena pihaknya ingin proses demokrasi di Indonesia semakin matang, alih-alih mundur.
Mantan Gubernur DKI Jakarta itu menyatakan, bukti-bukti dugaan kecurangan pemilu itu bakal dibawa ke Mahkamah Kosntitusi.

""Tapi kami memilih mengumpulkan itu semua secara hati-hati melakukan validasi, memastikan akurat,"" ujar Anies.
 
Berdasarkan hasil penghitungan suara berjenjang, KPU mengumumkan Prabowo-Gibran mendapatkan 96.214.691 suara atau 58,58 persen.
Kemudian, Anies Baswedan-Muhaimin Iskandar mendapatkan 40.971.906 suara atau 24,95 persen.
Sementara, pasangan Ganjar Pranowo-Mahfud MD mendapatkan 27.040.878 suara atau 16,47 persen suara. 
"
Wakil Ketua KPK Cerita Tetangganya Terima 6 Amplop Saat Pemilu 2024,http://nasional.kompas.com/read/2024/03/20/21502011/wakil-ketua-kpk-cerita-tetangganya-terima-6-amplop-saat-pemilu-2024,"Wakil Ketua Komisi Pemberamtasan Korupsi (KPK) Alexander Marwata mengungkapkan tetangganya mendapatkan empat sampai enam amplop ketika momentum pemilihan umum (Pemilu) 2024.
Hal itu Alex ungkapkan ketika menjelaskan mengenai praktik money politic di masa pemilu yang menurutnya mengonfirmasi kajian KPK bahwa orang memilih calon pemimpin karena uang.
Saat itu, Alex tengah menyampaikan pemaparan dalam acara Rapat Koordinasi Nasional dan Peluncuran Monitoring Center for Prevention (MCP) di Gedung Juang KPK, Jakarta.
""Saya dengar dari orang yang bekerja di rumah saya dan tetangga-tetangga. Cerita kemarin dapat amplop sampai lima, ada yang bilang empat, apa enam,"" kata Alex, Rabu (20/3/2024).
""Dijumlahkan secara total Rp 1 juta lebih Bapak, Ibu sekalian, untuk satu orang,"" ujarnya lagi.
 
Mantan Hakim Pengadilan Tindak Pidana Korupsi (Tipikor) itu kemudian bertanya kepada tetangganya, siapa calon presiden yang dipilih.
Menurut Alex, tetangganya menjawab bahwa mereka memilih siapa saja yang memberikan uang, termasuk jika ketiga pasangan calon presiden dan calon wakil presiden (capres-cawapres). Padahal, hal itu membuat surat suara tidak sah.
""Terus kamu milih siapa?"" tanya Alex menceritakan percakapannya.
""Pokoknya yang ngasih duit saya pilih, Pak Alex, kalau tiga tiganya kasih saya coblos semua,"" lanjut Alex menirukan jawaban tetangganya.
Alex lantas berkelakar bahwa tetangganya pintar karena dia tidak membohongi pihak tim sukses yang memberikan uang.
 

Alex mengatakan, salah satu persoalan yang menjadi sorotan pada masa Pemilu selain politik uang adalah tindakan membanjiri masyarakat dengan bantuan sosial (bansos).
Pihaknya telah menduga tindakan tersebut dan berkaca pada hasil riset bahwa masyarakat cenderung memilih pemimpin yang memberikan sesuatu.
""Menjelang Pilpres kan banjir bansos dan masyarakat senang sekali dan kita sudah menduga hal itu pasti terjadi,"" kata Alex.
 
Oleh karena itu, pada 2024 ini salah satu program MCP fokus memantau pelaksaan anggaran hibah, bansos, dan pokok pikiran (Pokir).
Dia meminta para Sekretaris Daerah (Sekda) hingga Inspektur Jenderal (Irjen) Kementerian Dalam Negeri (Kemendagri) mengecek perbedaan anggaran bansos 2024 dan tahun sebelumnya.
Alex pun berharap Kementerian Dalam Negeri atau pemerintah daerah menerbitkan aturan yang melarang penyaluran bansos jelang pemilihan kepala daerah (Pilkada) pada November 2024 mendatang.
""Coba upayakan bapak ibu sekalian, Pak Sekjen, Pak Inspektur. Jangan ada penyaluran bansos sebelum Pilkada,"" ujar Alex.
 
"
Hasil Pilpres 2024: Prabowo-Gibran Resmi Menang 96.214.691 Suara,http://nasional.kompas.com/read/2024/03/20/21292411/hasil-pilpres-2024-prabowo-gibran-resmi-menang-96214691-suara,"Pasangan calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 2, Prabowo Subianto-Gibran Rakabuming Raka, menang atas dua pasangan calon lainnya dengan selisih suara cukup jauh. Berdasarkan penetapan Komisi Pemilihan Umum (KPU) RI atas rekapitulasi hasil penghitungan dan perolehan suara tingkat nasional Pemilu Presiden (Pilpres) 2024, Rabu (20/3/2024), Prabowo-Gibran dinyatakan memperoleh 96.214.691 suara.
Sementara itu, pasangan capres-cawapres nomor urut 1, Anies Baswedan-Muhaimin Iskandar, mengantongi 40.971.906 suara.
Selanjutnya, capres-cawapres nomor urut 3, Ganjar Pranowo-Mahfud MD, menghimpun 27.040.878 suara.
 
Keputusan KPU Nomor 360 Tahun 2024 Penetapan Hasil Pemilihan Umum Presiden dan Wakil Presiden, Anggota Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah, Dewan Perwakilan Rakyat Daerah Provinsi, dan Dewan Perwakilan Rakyat Daerah Kabupaten/Kota secara Nasional dalam Pemilihan Umum Tahun 2024. Rekapitulasi meliputi perolehan suara di 38 provinsi di Indonesia dan 128 wilayah luar negeri. ""Memutuskan, menetapkan Keputusan KPU tentang Penetapan Hasil Pemilihan Umum Presidendan Wakil Presiden, anggota Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah, Dewan Perwakilan Rakyat Daerah Provinsi, dan Dewan Perwakilan Rakyat Daerah Kabupaten/Kota secara nasional dalam Pemilihan Umum Tahun 2024,"" kata Ketua KPU RI Hasyim Asy'ari di kantor KPU RI, Menteng, Jakarta Pusat.

"
"Bantah Ahmad Ali yang Pesimis Hak Angket, Surya Paloh: Itu Bukan Sikap Nasdem",http://nasional.kompas.com/read/2024/03/20/21040331/bantah-ahmad-ali-yang-pesimis-hak-angket-surya-paloh-itu-bukan-sikap-nasdem,"Ketua Umum Partai Nasdem Surya Paloh angkat bicara soal komentar wakil ketua umumnya, Ahmad Ali terkait hak angket DPR RI.
Sebelumnya, Ali sempat menyatakan pesimis hak angket bisa bergulir. Ali pun menuding partai politik (parpol) pengusung hak angket tak serius.
“Yang pasti itu bukan sikap Nasdem. Belum sikap Nasdem ya,” ujar Surya di kediaman Wakil Presiden ke 10 dan 12 RI Jusuf Kalla di Jalan Brawijaya, Jakarta Selatan, Rabu (20/3/2024).
 
Adapun Ali memang menunjukan sikap yang berbeda dengan internal Nasdem.
Padahal, Sekretaris Jenderal (Sekjen) Partai Nasdem Hermawi Taslim berulang kali mengatakan pihaknya serius mendorong penggunaan hak angket untuk menyelidiki dugaan kecurangan Pemilu 2024.
Bahkan, Taslim menekankan tiga fraksi parpol DPR RI dari Koalisi Perubahan, yaitu Nasdem, Partai Keadilan Sejahtera (PKS), dan Partai Kebangkitan Bangsa (PKB) tak akan lagi menunggu sikap Fraksi PDI-P.
Inisiatif pengusulan hak angket akan dilakukan oleh tiga parpol Koalisi Perubahan.
Di sisi lain, Ketua DPP PKB Daniel Johan menyebutkan lima anggota dewan Fraksi PKB telah menandatangani usulan hak angket.
Namun langkah itu tidak cukup, sebab syarat mengusulkan hak angket untuk dibawa ke rapat paripurna DPR RI harus memenuhi tanda tangan 25 anggota dewan dari minimal 2 fraksi.
 
"
"PAN Dukung Prabowo Sejak 2014, Zulhas Jawab soal Kemungkinan Minta Jatah Menteri",http://nasional.kompas.com/read/2024/03/20/20243391/pan-dukung-prabowo-sejak-2014-zulhas-jawab-soal-kemungkinan-minta-jatah,"Ketua Umum (Ketum) Partai Amanat Nasional (PAN) Zulkifli Hasan merespons soal apakah PAN akan meminta jatah menteri kepada calon presiden (capres) nomor urut 2 Prabowo Subianto atau tidak.
Pasalnya, PAN sudah mendukung Prabowo sejak tahun 2014, ketika Ketua Umum Gerindra itu berpasangan dengan Hatta Rajasa.
Dukungan PAN untuk Prabowo berlanjut di Pemilihan Presiden (Pilpres) 2019 dan Pilpres 2024.
""Oh iya ya, sudah lama juga perjuangannya ya,"" ujar Zulkifli Hasan saat ditemui di rumah Prabowo, Jalan Kertanegara, Jakarta Selatan, Rabu (20/3/2024).
 
Pria yang karib disapa Zulhas ini lantas menegaskan bahwa penentuan menteri di kabinet adalah hak prerogatif presiden.
Dia mengatakan, membebaskan Prabowo untuk menentukan berapa jumlah menteri bagi PAN.
""Terserah beliau, wong beliau presidennya kok,"" katanya.
Saat ditanya soal harapan untuk jumlah menteri yang didapat PAN, Zulhas kembali mengingatkan soal hak prerogatif presiden.
""Hah? Ya haknya prerogatif presiden,"" ujar Zulhas.
 

Untuk diketahui, partai pendukung Prabowo lainnya, yakni Golkar meminta jatah lima kursi menteri jika Prabowo ditetapkan sebagai Presiden kelak.
Sementara itu, Komisi Pemilihan Umum (KPU) RI diketahui baru akan mengumumkan hasil Pemilu 2024 pada Rabu malam ini.
Pengumuman tersebut termasuk hasil Pilpres dan Pileg 2024.
 
"
"Hasil Rekapitulasi KPU: PDI-P Menang di Papua, Diikuti Gerindra dan Nasdem",http://nasional.kompas.com/read/2024/03/20/20205841/hasil-rekapitulasi-kpu-pdi-p-menang-di-papua-diikuti-gerindra-dan-nasdem,"PDI Perjuangan menguasai perolehan suara Pemilu Legislatif (Pileg) 2024 di Provinsi Papua. Hal ini diketahui dari hasil rekapitulasi penghitungan suara tingkat nasional yang diselenggarakan oleh Komisi Pemilihan Umum (KPU) RI untuk Provinsi Papua pada Rabu (20/3/2024) malam. Berdasarkan hasil rekapitulasi suara nasional, partai pimpinan Megawati Soekarnoputri itu unggul dengan perolehan suara mencapai 154.548.
""Kita sahkan, bismillah sah. Alhamdulilah sah,"" kata Ketua KPU RI Hasyim Asyari dalam rapat pleno terbuka di kantor KPU, Menteng, Jakarta Pusat, Rabu.
 
Selanjutnya, di posisi kedua ada Partai Gerindra yang mendulang 110.961 suara, diikuti Partai Nasdem yang memperoleh 88.525 suara.  Posisi keempat dan kelima secara berurutan ditempati oleh Partai Golkar dengan 71.485 suara, lalu Partai Demokrat yang mengantongi 42.346 suara. Adapun total suara sah dan tidak sah di provinsi Papua mencapai 683.649. Perinciannya, suara sah sebanyak 658.922 dan suara tidak sah sebesar 24.727. Berikut ini perolehan suara 18 partai politik nasional peserta Pemilu 2024 di Provinsi Papua berdasarkan hasil rekapitulasi suara yang disahkan oleh KPU:

Partai Kebangkitan Bangsa (PKB): 11.149 suara
Partai Gerindra: 110.961 suara
PDI-P: 154.548 suara
Partai Golkar: 71.485 suara
Partai Nasdem: 88.525 suara
Partai Buruh: 5.468 suara
Partai Gelora: 9.292 suara
Partai Keadilan Sejahtera (PKS): 27.887 suara
Partai Kebangkitan Nusantara (PKN): 5.237 suara
Partai Hati Nurani Rakyat (Hanura): 25.718 suara
Partai Garda Republik Indonesia (Garuda) 4.289 suara
Partau Amanat Nasional (PAN): 41.911 suara
Partai Bulan Bintang (PBB): 3.133 suara
Partai Demokrat: 42.346 suara
Partai Solidaritas Indonesia (PSI): 21.789 suara
Partai Perindo: 12.836 suara
Partai Persatuan Pembangunan (PPP): 8.029 suara
Partai Ummat: 3.066 suara


Adapun proses rekapitulasi suara secara nasional telah diselenggarakan KPU sejak 28 Februari 2024. Sebelumnya, sejak 15 Februari 2024, rekapitulasi suara telah dilakukan secara berjenjang dari tingkat kelurahan, berlanjut ke kecamatan, kabupaten/kota, provinsi, dan terakhir nasional.
Hari ini merupakan hari terakhir buat KPU menetapkan hasil rekapitulasi suara nasional Pemilu 2024. KPU berencana mengumumkan hasil Pemilu) 2024 pada Rabu malam ini.
"
MK Belum Tetapkan Komposisi Panel Hakim PHPU Pileg 2024,http://nasional.kompas.com/read/2024/03/20/19492581/mk-belum-tetapkan-komposisi-panel-hakim-phpu-pileg-2024,"Mahkamah Konstitusi (MK) belum menetapkan komposisi panel untuk sengketa Perselisihan Hasil Pemilihan Umum (PHPU) Pemilihan Legislatif (Pileg).
Juru Bicara MK, Fajar Laksono mengatakan, panel akan dibentuk sebelum sidang PHPU pileg akan digelar.
""Untuk PHPU 2024, komposisi hakim panel belum ditetapkan,"" kata Fajar kepada Kompas.com melalui pesan singkat, Rabu (20/3/2024).
Sementara itu, untuk PHPU pemilihan presiden (pilres), MK akan menggunakan sistem pleno.
 
Seluruh hakim MK kecuali Anwar Usman yang disanksi tidak boleh ikut dalam sengketa pemilu akan menjadi hakim PHPU pilpres.
""Kalau pilpres kan enggak ada panel, (adanya) pleno,"" ujarnya.
MK sendiri telah menyiapkan ruang pendaftaran untuk gugatan PHPU 2024 di gedung sisi selatan MK.
Tempat pendaftaran PHPU ini mulai beroperasi 3x24 jam setelah Komisi Pemilihan Umum (KPU) RI mengumumkan hasil Pemilu secara resmi.
 

Sebagai informasi, Komisi Pemilihan Umum (KPU) RI dijadwalkan menetapkan hasil Pemilu 2024, baik pilpres maupun pileg DPR RI pada Rabu (20/3/2024).
Kemudian, pasangan capres-cawapres punya waktu tiga hari kerja untuk mendaftarkan permohonan sengketa ke MK sejak penetapan oleh KPU RI. Sedangkan peserta pileg punya waktu 3x24 jam.
Setelah menerima berkas gugatan, MK akan menggelar sidang sengketa pilpres lebih dulu dengan durasi 14 hari kerja, baru setelahnya menyelenggarakan sengketa pileg dengan durasi 30 hari kerja.
 
"
"Jelang Pengumuman Hasil Pemilu, Anies Rayakan Ulang Tahun Ibunda, Cak Imin Berencana ""War"" Takjil",http://nasional.kompas.com/read/2024/03/20/14101911/jelang-pengumuman-hasil-pemilu-anies-rayakan-ulang-tahun-ibunda-cak-imin,"Komisi Pemilihan Umum (KPU) kemungkinan bakal mengumumkan hasil resmi Pemilu 2024 hari ini, Rabu (20/3/2024).
Sembari menunggu momen tersebut, calon presiden (capres) dan calon wakil presiden (cawapres) nomor urut 1 Anies Baswedan dan Muhaimin Iskandar mengisi aktivitasnya di tengah bulan Ramadhan.
Dikutip dari unggahan Instagram miliknya @aniesbaswedan, mantan Gubernur DKI Jakarta itu hari ini bakal merayakan ulang tahun ibundanya, Aliyah Rasyid Baswedan yang berusia 84 tahun.
Kompas.com telah mendapatkan izin dari tim internal Anies untuk mengutip isi keterangan dalam unggahan Instagram tersebut.
 
“Ibu adalah perempuan tangguh, penuh kasih sayang dan pemancar doa tanpa henti bagi anak dan cucu-cucunya. Pada setiap sujudnya, dikirimkan doa untuk kami semua,” ujar Anies.
“Izinkan kami, anak, menantu dan cucu sore ini dalam sebuah acara syukuran sederhana di rumah, mengirimkan doa untuk Ibu,” sambung dia.
Sementara, Wakil Bendahara Umum Partai Kebangkitan Bangsa (PKB) Bambang Susanto mengungkapkan, Muhaimin berencana untuk mencari takjil pukul 15.00 WIB.
“Jam 15.00 WIB ada war takjil di Benhil,” tutur dia.

 
Diketahui berdasarkan hasil penghitungan sementara oleh KPU, capres-cawapres nomor urut 2 Prabowo Subianto dan Gibran Rakabuming Raka unggul dalam Pemilihan Presiden (Pilpres) 2024.
Sementara, Anies-Muhaimin berada di urutan kedua, disusul pasangan calon nomor urut 3 Ganjar Pranowo dan Muhaimin Iskandar.
Adapun Anies belum mau mengungkapkan secara gamblang rencana politiknya setelah pengumuman resmi dari KPU. Begitu pun, ia masih bungkam ketika ditanya apakah akan maju ke Mahkamah Konstitusi (MK) untuk menggugat hasil Pilpres 2024. 
"
"Hasil ""Quick Count"" Pilpres 2024 dari 6 Lembaga Survei Data 90 Persen, Prabowo-Gibran Unggul",http://nasional.kompas.com/read/2024/02/14/22131511/hasil-quick-count-pilpres-2024-dari-6-lembaga-survei-data-90-persen-prabowo,"Hasil hitung cepat (quick count) dari 6 lembaga survei yang bekerja sama dengan Kompas.com memperlihatkan pasangan calon presiden-calon wakil presiden (capres-cawapres) nomor 2 Prabowo Subianto-Gibran Rakabuming Raka unggul dalam pemilihan presiden (Pilpres) 2024.
Mereka sudah menyelesaikan hitung cepat Pilpres 2024 dan merilis hasilnya pada Rabu (14/2/2024). Berikut ini kami rangkum sejumlah hasil hitung cepat tersebut.
Litbang Kompas

Anies Baswedan - Muhaimin Iskandar: 25,10 persen.
Prabowo Subianto-Gibran Rakabuming Raka: 58,73 persen.
Ganjar Pranowo-Mahfud MD: 16,17 persen.

Data masuk: 88,45 persen.
Sampel: 2.000 TPS di 38 provinsi
Margin error: Di bawah 1 persen.
 
Charta Politika
Anies Baswedan - Muhaimin Iskandar: 25,84 persen.
Prabowo Subianto-Gibran Rakabuming Raka: 57,75 persen.
Ganjar Pranowo-Mahfud MD: 16,39 persen.
Data masuk: 90,05 persen.
Sampel: 2.000 TPS di 38 provinsi
Margin error: 1 persen.
 
Indikator Politik Indonesia

Anies Baswedan - Muhaimin Iskandar: 25,59 persen.
Prabowo Subianto-Gibran Rakabuming Raka: 57,83 persen.
Ganjar Pranowo-Mahfud MD: 16,38 persen.

Data masuk: 91,13 persen.
Sampel: 3.000 TPS di 38 provinsi
Margin error: 1 persen.

 
Lembaga Survei Indonesia (LSI)

Anies Baswedan - Muhaimin Iskandar: 25,33 persen.
Prabowo Subianto-Gibran Rakabuming Raka: 57,41 persen.
Ganjar Pranowo-Mahfud MD: 17,26 persen.

Data masuk: 91,20 persen."
"""Quick Count"" Litbang Kompas Data Masuk 60,8 Persen: PDI-P, Golkar, Gerindra Memimpin",http://nasional.kompas.com/read/2024/02/14/21585431/quick-count-litbang-kompas-data-masuk-608-persen-pdi-p-golkar-gerindra,"Hitung cepat sementara atau quick count Pemilihan Legislatif (Pileg) 2024 Litbang Kompas dengan cakupan data 60,80 persen, mencatat empat partai politik yang meraih suara di atas 10 persen.
 Empat besar partai politik yang memimpin perolehan suara tersebut yaitu, PDI-P (17,30 persen), Golkar (14,63 persen), Gerindra (13,70 persen), dan PKB (11,45 persen). Partai Nasdem menempati posisi kelima dengan perolehan angka 9,35 persen. Data tersebut dihimpun Litbang Kompas hingga pukul 21.11 WIB.
  Berikut perolehan sementara 18 parpol peserta Pemilu 2024 sesuai nomor urut. 1. PKB (11,45 persen) 2. Partai Gerindra (13,70 persen) 3. PDI-P (17,30 persen) 4. Golkar (14,63 persen) 5. Partai Nasdem (9,35 persen) 6. Partai Buruh (0,64 persen) 7. Partai Gelora (0,81 persen) 8. PKS (8,32 persen) 9. PKN (0,19 persen) 10. Partai Hanura (0,66 persen)"
