Title,URL,Text
"TPS Buka Molor karena Jabodetabek Hujan Lebat, KPU: Boleh Tutup di Atas Jam 13.00",http://nasional.kompas.com/read/2024/02/14/09175391/tps-buka-molor-karena-jabodetabek-hujan-lebat-kpu-boleh-tutup-di-atas-jam,"Komisi Pemilihan Umum (KPU) RI berpesan bahwa TPS yang hari ini tetap memberikan pelayanan kepada para pemilih, dan sekiranya sampai jam 13.00 masih banyak antrean di TPS, maka KPPS (Kelompok Penyelenggara Pemungutan Suara) wajib melayani pemilih yang sudah berada di TPS sampai seluruh pemilih terlayani dengan baik. Jam tutup TPS yang sedianya dijadwalkan pukul 13.00 waktu setempat boleh dimundurkan demi melayani pemilih. ""Prinsipnya, pemilih di TPS semuanya terlayani dalam menggunakan hak pilihnya. Pemilih yang berada di TPS semuanya terlayani. Jadi tidak masalah pemungutan suada dilakukan melewati jam 13.00. Pemilih yang berada di TPS ya,"" kata anggota KPU RI, Idham Holik, kepada Kompas.com, Rabu (14/2/2024). Sebagai informasi, akibat hujan deras yang mengguyur sejak semalam hingga pagi ini, beberapa TPS di Jabodetabek dilaporkan tergenang dan kebanjiran. Beberapa TPS terpaksa dibuka molor atau melewati waktu yang ditentukan pukul 07.00 waktu setempat. ""Kepada KPPS, yang melangsungkan pemungutan suara, mohon nanti dapat ditulis di formulir C-Kejadian Khusus,"" tambah Koordinator Divisi Teknis Penyelenggaraan Pemilu KPU RI itu. Ia juga menyebut bahwa pemilih yang terdampak banjir sehingga terlambat tiba di TPS lebih dari jam 13.00 masih bisa terlayani, dengan syarat KPPS setempat harus berkoordinasi dengan saksi peserta pemilu dan pengawas TPS. ""Berkenaan dengan hal tersebut, nanti KPPS bisa menyampaikan kepada pengawas TPS dan para saksi untuk diberitahu bahwa akan tetap memberikan pelayanan kepada para pemilih,"" ujar dia. Ia menyebutkan bahwa TPS yang terkendala akibat cuaca buruk pagi ini di Jabodetabek dapat mengajukan pemilu susulan seandainya situasi yang ada tidak memungkinkan untuk dilakukan pencoblosan hingga pukul TPS ditutup pada 13.00. ""Kalau sekiranya TPS tersebut, lokasi TPS tersebut tergenang air atau banjir, yang sekiranya diprediksi banjir tersebut baru surut dalam rentang waktu 4-5 jam ke depan, dan sekiranya melewati batas jam 13.00, atau tidak memungkinkan dilaksanakan pemungutan suara pada hari ini, maka bisa dilakukan pemungutan suara susulan,"" jelas Idham. Panitia Pemilihan Kecamatan (PPK) nantinya yang akan mengajukan usul secara resmi kepada KPU di tingkat kota/kabupaten untuk menggelar pemilu susulan. ""KPU kota/kabupaten men-SK-kan (membuat surat keputusan) pemungutan suara susulan,"" ujar Idham. Idham mengatakan, berkaitan dengan TPS yang terdampak akibat hujan lebat semalam, ada beberapa perlakuan yang bisa ditempuh. ""Yang pertama, apabila memang TPS-nya berada di area terbuka, maka jika memungkinkan sebaiknya pindahkan ke gedung yang sekiranya dipastikan aman, tidak terkena air hujan,"" kata Idham. ""Jika masih memungkinkan dipindahkan ke lokasi lainnya, dan terjangkau oleh pemilih, maka lakukanlah TPS relokasi,"" ungkapnya."
"PAN Dukung Prabowo Sejak 2014, Zulhas Jawab soal Kemungkinan Minta Jatah Menteri",http://nasional.kompas.com/read/2024/03/20/20243391/pan-dukung-prabowo-sejak-2014-zulhas-jawab-soal-kemungkinan-minta-jatah,"Ketua Umum (Ketum) Partai Amanat Nasional (PAN) Zulkifli Hasan merespons soal apakah PAN akan meminta jatah menteri kepada calon presiden (capres) nomor urut 2 Prabowo Subianto atau tidak. Pasalnya, PAN sudah mendukung Prabowo sejak tahun 2014, ketika Ketua Umum Gerindra itu berpasangan dengan Hatta Rajasa. Dukungan PAN untuk Prabowo berlanjut di Pemilihan Presiden (Pilpres) 2019 dan Pilpres 2024. ""Oh iya ya, sudah lama juga perjuangannya ya,"" ujar Zulkifli Hasan saat ditemui di rumah Prabowo, Jalan Kertanegara, Jakarta Selatan, Rabu (20/3/2024). Pria yang karib disapa Zulhas ini lantas menegaskan bahwa penentuan menteri di kabinet adalah hak prerogatif presiden. Dia mengatakan, membebaskan Prabowo untuk menentukan berapa jumlah menteri bagi PAN. ""Terserah beliau, wong beliau presidennya kok,"" katanya. Saat ditanya soal harapan untuk jumlah menteri yang didapat PAN, Zulhas kembali mengingatkan soal hak prerogatif presiden. ""Hah? Ya haknya prerogatif presiden,"" ujar Zulhas. Untuk diketahui, partai pendukung Prabowo lainnya, yakni Golkar meminta jatah lima kursi menteri jika Prabowo ditetapkan sebagai Presiden kelak. Sementara itu, Komisi Pemilihan Umum (KPU) RI diketahui baru akan mengumumkan hasil Pemilu 2024 pada Rabu malam ini. Pengumuman tersebut termasuk hasil Pilpres dan Pileg 2024."
Kedipan Mata Prabowo Usai Ganjar Bilang Nggak Apa-apa Diinterupsi,https://news.detik.com/pemilu/d-7129449/kedipan-mata-prabowo-usai-ganjar-bilang-nggak-apa-apa-diinterupsi,"Jakarta - Capres nomor urut 2 Prabowo Subianto mengedipkan mata kanannya ke arah capres nomor urut 3 Ganjar Pranowo. Hal itu terjadi saat Ganjar menyatakan tak masalah diinterupsi saat memberi penjelasan.Momen kedipan mata Prabowo tersebut diawali tanya jawab Prabowo dengan Ganjar. Ganjar pun bicara soal perlunya peningkatan peralatan militer di laut dan udara.""Laut, mereka butuh sonar, Pak, mereka butuh sensor-sensor,"" ucapnya. Ganjar kemudian mengatakan angkatan udara perlu diperkuat. Dia menyindir pembelian pesawat bekas oleh Kementerian Pertahanan yang dipimpin Prabowo.Ganjar lalu bicara fokus penggunaan alutsista produksi dalam negeri. Ganjar mengungkit kerja sama proyek kapal selam PT PAL dengan Korea Selatan yang disebutnya dibatalkan Prabowo.""Kapal selam yang sudah dimulai dari PT PAL, yang kerja samanya kalau tidak salah Bapak batalkan dengan Korea Selatan. Tolong, Pak, kalau saya keliru,"" ucap Ganjar.Prabowo kemudian menginterupsi Ganjar sehingga diingatkan oleh moderator. Ganjar kemudian merespons dan mengaku tak masalah diinterupsi.""Pak Prabowo,"" ujar moderator.Prabowo mengedipkan mata ke Ganjar (dok. KPU)""Ini nggak apa-apa, kalau saya terima. Debat sebenarnya seperti ini, kalau boleh, tanya jawab langsung,"" ucapnya.Prabowo lalu terlihat mengedipkan mata kanannya sambil menoleh ke arah Ganjar. Ganjar pun kemudian mempersilakan Prabowo bicara.""Ya, karena sudah selesai, this stage is yours, Pak,"" ucap Ganjar.Simak Video 'Momen Ganjar Kecewa ke Prabowo gegara Tak Menjawab Pertanyaannya': [Gambas:Video 20detik] (haf/dhn)"
"Peneliti Litbang Kompas: Data ""Quick Count"" yang Masuk 75 Persen, Prabowo-Gibran Unggul di Jabar, Jateng, hingga Papua",http://nasional.kompas.com/read/2024/02/14/19272741/peneliti-litbang-kompas-data-quick-count-yang-masuk-75-persen-prabowo-gibran,"Peneliti Litbang Kompas Yohan Wahyu menyampaikan hitung cepat sementara atau quick count berdasarkan data yang masuk 75 persen. Yohan mengatakan, pasangan calon presiden dan wakil presiden nomor 2 Prabowo Subianto-Gibran Rakabuming Raka unggul di mayoritas provinsi di Pulau Jawa seperti Jawa Barat (61,12 persen), Jawa Tengah (52,9 persen), Jawa Timur (65,47 persen). ""Misalnya, Jawa Barat ini Prabowo-Gibran 61,12 persen, sementara kalau kita lihat di Jawa Tengah diungguli juga 52,9 persen, sementara di Jawa Timur pasangan Prabowo-Gibran mampu menandingi 65,47 persen,"" kata Yohan dalam program Gaspol di Menara Kompas, Jakarta, Rabu (14/2/2024). Yohan mengatakan, Prabowo-Gibran juga unggul di Sumatera bagian Selatan dengan perolehan suara 70,75 persen. Kemudian di Kalimantan (55,87 persen), Sulawesi (66,52 persen), dan Papua (80,83 persen). ""Dan terakhir dari Nusa Tenggara ini 54,5 persen,"" ujarnya. Lebih lanjut, Yohan mengatakan, meski saat ini data yang masuk belum mencapai 100 persen, secara umum Prabowo-Gibran menguasai suara di wilayah Jawa, Sumatera bagian Selatan, Kalimantan, Sulawesi, dan Papua. Berdasarkan hal tersebut, kata dia, Litbang Kompas cukup berani menyatakan Pilpres 2024 berlangsung satu putaran saja. ""Kenapa Litbang Kompas cukup berani (pilpres satu putaran) karena meskipun 75 persen angka ini sudah ajeg,"" ucap dia. Sebagai informasi, Pasangan calon presiden-calon wakil presiden (capres-cawapres) nomor urut 02 Prabowo Subianto-Gibran Rakabuming Raka unggul 59,07 persen dalam hitung cepat (quick count) sementara Litbang Kompas, Rabu (14/2/2024). Kesimpulan itu didapat dari hitung cepat Litbang Kompas pada pukul 16.40 WIB. Sementara itu, pasangan nomor urut 1 Anies Baswedan-Muhaimin Iskandar mendapat 24,71 persen suara. Kemudian pasangan nomor urut 3 Ganjar Pranowo-Mahfud MD mendapatkan 16,22 persen suara. Perolehan suara tersebut diperoleh dari data penghitungan yang masuk sebesar 70,90 persen dari total 2.000 TPS sampel. Quick count Litbang Kompas dalam Pemilu 2024 menggunakan metodologi stratified random sampling dan memiliki margin of error sebesar 1 persen. Quick count ini dibiayai secara mandiri oleh Harian Kompas. Hasil quick count ini bukanlah hasil resmi. Komisi Pemilihan Umum (KPU) akan melakukan rekapitulasi suara secara berjenjang dari Kamis (15/2/ 2024) hingga Rabu (20/3/2024). Penetapan hasil Pemilu dilakukan paling lambat 3 hari setelah memperoleh surat pemberitahuan atau putusan dari Mahkamah Konstitusi (MK)."
"Prabowo Tak Beberkan Data soal MEF, Ganjar: Kalau Tak Siap, Jangan Berdebat",http://nasional.kompas.com/read/2024/01/07/23110161/prabowo-tak-beberkan-data-soal-mef-ganjar-kalau-tak-siap-jangan-berdebat,"Calon presiden (capres) nomor urut 3 Ganjar Pranowo mengaku tidak mau menagih data pada capres nomor urut 2 Prabowo Subianto menyangkut minimum essential force (MEF) atau kekuatan pokok minimal Indonesia turun. Diketahui, dalam debat capres yang digelar pada Minggu (7/12/2024), Prabowo mengaku tidak punya cukup waktu untuk menjawab dan mengungkapkan data soal MEF tersebut dan menyatakan akan menjawabnya di waktu lain. Ganjar mengatakan, jika Prabowo tidak siap mengikuti debat, maka tidak perlu mengikuti agenda debat pemilihan presiden (Pilpres) yang digelar Komisi Pemilihan Umum (KPU) RI. ""Tidak perlu. Debatnya hari ini, kenapa mesti besok? Kalau memang tidak siap, jangan berdebat,"" ujar Ganjar dalam konferensi pers usai debat Pilpres ketiga di Istora, Senayan, Jakarta Pusat, Minggu. Ganjar lantas menyentil Prabowo dan menekankan jika Meneri Pertahanan (Menhan) itu siap berdebat maka seharusnya memiliki persiapan yang baik. Adapun mengenai waktu yang terbatas, menurut Ganjar, merupakan ujian yang paling baik bagi seseorang untuk menunjukkan kemampuannya. ""Itulah ujian yang paling bagus, maka kalau anda tidak perfom, jangan menantang pada ruang lain,"" kata Ganjar. Menurutnya, jika ingin menyampaikan jawaban di ruang yang lain maka Prabowo bisa melakukannya dalam rapat dengar pendapat (RDP) dengan DPR RI dalam kapasitasnya sebagai Menteri Pertahanan. ""Beliau akan berdebat nanti dengan DPR,"" ujar Ganjar. ""Dan publik akan melihat tapi dengan saya sudah cukup ada di sini, maka publik kita minta untuk menilai bahwasannya mengajak untuk membandingkan data dan beliau tidak sanggup,"" katanya lagi Sebelumnya, Prabowo dinilai tidak menjawab pertanyaan Ganjar mengenai MEF Indonesia yang menurun menjadi 65,49 persen dari target seharusnya 79 persen. Meski Prabowo menanggapi pertanyaan itu, Ganjar menilai bahwa pernyataannya tidak memberikan jawaban jelas. Prabowo kemudian berkilah dirinya tidak memiliki cukup waktu untuk menjawab pertanyaan yang dilontarkan Ganjar. ""Jadi begini, yang Bapak ungkapkan itu saya bisa bantah. Waktunya tidak cukup. Saya siap berjumpa dengan Bapak. Mari kita bahas. Satu per satu akan saya buktikan,"" kata Prabowo. ""Saya butuh hari ini, Pak,"" ujar Ganjar menimpali. ""Oh enggak bisa. Saya tidak dikasih waktu. Jadi Anda tidak fair. Anda minta saya kasih penjelasan yang begitu rumit tapi waktu saya terbatas,"" kata Prabowo."
Ketika Prabowo dan Anies Sempat Berdebat soal Data Kepemilikan Lahan Prabowo...,http://nasional.kompas.com/read/2024/01/07/20535891/ketika-prabowo-dan-anies-sempat-berdebat-soal-data-kepemilikan-lahan-prabowo,"Calon presiden (capres) nomor urut 1 Anies Baswedan dan capres nomor urut 2 Prabowo Subianto sempat berdebat soal data kepemilikan lahan Prabowo. Hal itu terjadi dalam debat capres kedua di Istora Senayan, Jakarta, Minggu (7/1/2024). Awalnya, moderator menanyakan pada Anies bagaimana mendapatkan akses dan pengembangan teknologi untuk memperkuat pertahanan Indonesia. Namun, Anies tak langsung menjawab pertanyaan itu, tapi mengklarifikasi data yang disampaikan soal kepemilikan lahan Prabowo. “Terima kasih, sebelum saya menjawab pertanyaan itu saya mengklarifikasi data yang meleset, maaf Pak Prabowo, angkanya terlalu kecil, bukan 320 hektar, tapi 340.000 hektar. saya klarifikasi,” ujar Anies. Jawaban Anies itu langsung mendapatkan sanggahan dari Prabowo. Dia menyebut bahwa data kepemilikan lahannya yang dipakai oleh Anies tidak valid. “Itu pun salah, itu pun salah. Mas Anies, jangan jiplak data yang salah,” kata Prabowo. Perdebatan itu lantas memicu keriuhan dari kedua kubu pendukung. Moderator pun sempat meminta pendukung untuk tenang. Sebelumnya, Anies juga mengkritik dana Kementerian Pertahanan (Kemenhan) sekitar Rp 700 triliun yang tidak optimal. Baginya, dana tersebut hanya digunakan untuk membeli alutsista bekas. Padahal, banyak tentara yang belum memiliki rumah. “Itu justru digunakan untuk membeli alat-alat, alutsista yang bekas di saat tentara kita lebih dari separo tidak memiliki rumah dinas. Sementara menterinya, punya, menurut Pak Jokowi, lebih dari 340 hektar tanah di republik ini. Ini harus diubah,” ujar Anies. Diketahui, debat capres kedua mengangkat tema tentang pertahanan dan keamanan, hubungan internasional dan globalisasi, serta geopolitik dan politik luar negeri."
Anies Ungkit Etika di Akhir Debat: Jangan Sembunyi di Balik Keputusan Hukum,https://news.detik.com/pemilu/d-7086553/anies-ungkit-etika-di-akhir-debat-jangan-sembunyi-di-balik-keputusan-hukum,"Jakarta - Capres nomor urut 1 Anies Baswedan menutup debat capres perdana dengan mengungkit persoalan etika. Dia mengatakan pelanggaran etika tak boleh disembunyikan di balik keputusan hukum.Anies awalnya mengatakan dirinya ingin negara di mana korupsi diberantas hingga tuntas. Dia mengatakan pemerintah juga harus memberikan pelayanan terbaik.""Saya rasa kita sama, rakyat Indonesia, saya, kita semua menginginkan negeri di mana praktik korupsi diberantas hingga tuntas, pemerintah memberikan pelayanan terbaik, kita menjunjung tinggi etika. Kita sama di situ,"" ucap Anies saat menyampaikan closing statement debat capres di kantor KPU, Jakarta Pusat, Selasa (12/12/2023). Anies mengatakan saat ini Indonesia ada di persimpangan jalan. Dia mengatakan Indonesia harus menjadi negara hukum di mana penguasa diatur oleh hukum, bukan sebaliknya.""Ini adalah sebuah gerakan perubahan. Kita ingin kembalikan tetap jadi negara hukum dimana kekuasaan dikendalikan,"" ucapnya.Anies kemudian mengungkit lagi soal etika. Dia mengatakan pelanggaran etika tak boleh bersembunyi di balik keputusan hukum.""Saya ingin sampaikan bahwa etika dijunjung tinggi, ketika terjadi pelanggaran etika jangan bersembunyi di balik keputusan hukum, justru kita harus mengatakan bahwa tugas dari pimpinan tertinggi memberi contoh bila ada pelanggaran etika maka itu adalah mendasar bila tidak maka ke bawah ke seluruh rakyat semua akan kompromi dan praktik orang dalam yang tadi sampaikan akan merusak sendi-sendi kehidupan bernegara kita,"" ucapnya.Dia mengatakan etika adalah hal penting. Dia menyebut sosok capres sudah diuji soal kompromi atau tidak terkait pelanggaran etika.""Penting sekali kita menjunjung tinggi etika dan itu dilakukan oleh siapa, dari mulai calon Presiden sudah diuji apa dia kompromi atau tidak pada etika,"" ucap Anies. (haf/imk)"
"Memilih Pemimpin, Menolak Golput (Bagian II - Habis)",http://nasional.kompas.com/read/2024/02/14/07052511/memilih-pemimpin-menolak-golput-bagian-ii-habis,"SEORANG pemimpin tidak hanya berperan sebagai figur simbolis, melainkan juga bertanggung jawab dalam menentukan arah serta masa depan negara. Kebijakan yang diambil oleh seorang pemimpin memiliki dampak signifikan terhadap kehidupan sehari-hari warga negara, baik dalam bidang ekonomi, pendidikan, maupun keamanan. Baca artikel sebelumnya: Menentukan masa depan Negara Oleh karena itu, penting untuk melakukan pemilihan pemimpin dengan bijaksana guna memastikan kelangsungan dan kemajuan negara. Dalam bidang ekonomi, keputusan-keputusan yang diambil oleh seorang pemimpin memiliki implikasi langsung terhadap pertumbuhan ekonomi, lapangan kerja, serta kesejahteraan masyarakat. Kebijakan fiskal, moneter, dan perdagangan yang dibuat akan memengaruhi stabilitas ekonomi negara dan kesejahteraan rakyatnya. Maka pemimpin yang memiliki pemahaman yang baik atas ekonomi, dan mampu mengimplementasikan kebijakan tepat, sangatlah penting untuk menjaga stabilitas dan pertumbuhan ekonomi negara. Di sektor pendidikan, kebijakan-kebijakan yang diambil oleh seorang pemimpin akan memengaruhi mutu dan aksesibilitas pendidikan bagi generasi mendatang. Investasi dalam pendidikan, reformasi kurikulum, dan peningkatan kualitas guru merupakan hal-hal yang perlu diperhatikan oleh seorang pemimpin untuk memastikan bahwa negara memiliki sumber daya manusia berkualitas, dan siap menghadapi tantangan masa depan. Tidak kalah pentingnya adalah bidang keamanan. Pemimpin bertanggung jawab atas keselamatan dan keamanan warga negaranya. Kebijakan luar negeri, pertahanan, serta penanganan konflik internal akan membentuk citra dan kestabilan negara di mata dunia. Oleh karena itu, pemimpin yang mampu mengelola hubungan internasional dengan bijaksana dan menjaga kedaulatan serta keamanan negara menjadi hal yang sangat diharapkan. Dengan demikian, memilih pemimpin yang bijaksana dan berkualitas sangatlah penting untuk memastikan kesinambungan dan kemajuan negara. Kepemimpinan yang efektif dalam mengelola berbagai aspek kehidupan masyarakat akan membawa dampak positif yang dirasakan oleh seluruh warga negara. Maka dalam setiap proses pemilihan pemimpin, penting bagi kita untuk melakukan evaluasi cermat terhadap kualitas, rekam jejak, serta visi dan misi calon pemimpin, agar kita dapat membuat keputusan tepat demi kebaikan bersama. Pemikiran rasional Dalam menggunakan hak suara, penting bagi setiap pemilih untuk melakukan penelitian yang cermat tentang kandidat dan platform mereka. Penelitian yang mendalam akan membantu pemilih untuk memahami dengan lebih baik visi, kebijakan, dan rekam jejak calon pemimpin yang akan mereka pilih. Ini penting karena pemimpin yang dipilih akan memiliki dampak signifikan terhadap arah dan masa depan negara. Penting juga bagi pemilih untuk mempertimbangkan nilai-nilai dan visi masa depan yang diusung oleh kandidat. Pemilihan pemimpin bukan hanya masalah memilih orang yang paling populer atau yang paling banyak muncul di media massa. Melainkan pula tentang memilih pemimpin yang memiliki nilai-nilai yang sejalan dengan keyakinan dan aspirasi rakyat."
"Anies: Kita Harus Mulai Pikirkan Bansos ""Cash Transfer"" untuk Kurangi Risiko Korupsi",http://nasional.kompas.com/read/2024/02/04/21320171/anies-kita-harus-mulai-pikirkan-bansos-cash-transfer-untuk-kurangi-risiko,"Calon presiden nomor urut 1 Anies Baswedan mengatakan, bantuan sosial (bansos) harus diberikan dalam bentuk uang yang ditransfer ke rekening warga yang membutuhkan. Anies menegaskan cara itu harus dilakukan demi mengurangi korupsi berupa pengadaan barang. Hal tersebut Anies sampaikan dalam debat capres kelima di Jakarta Convention Center, Senayan, Jakarta, Minggu (4/2/2024). ""Kita harus mulai memikirkan opsi bahwa bantuan itu bisa berbentuk cash transfer, mengurangi potensi korupsi dalam pengadaan barang,"" ujar Anies. Anies menjelaskan, pengadaan bantuan sosial memang membantu masyarakat. Hanya saja, kata dia, bansos juga membuka peluang perusahaan-perusahaan besar meraup untung lebih besar. ""Karena yang diisikan (dalam bansos) di situ adalah produk-produk dari perusahaan-perusahaan raksasa. Dan ini yang harus dikoreksi,"" kata Anies. ""Bila bantuan itu diberikan langsung, dalam bentuk cash, ini salah satu yang perlu kita pertimbangkan. Mereka langsung gunakan sesuai dengan kebutuhannya,"" sambung Anies. Terkait akurasi data, Anies mengatakan data penerima bansos tinggal dicocokkan bersama RT/RW masing-masing tempat tinggal. ""Kami pernah lakukan di situ, pasti sama Pak Ganjar, berikan ke RT/RW, mereka musyawarah, mencocokkan, siapa dalam daftar itu siapa yang benar siapa dalam daftar itu yang keliru. PKK, LMK, karang taruna, RT/RW. Mereka bisa membantu. Datanya akurat. Dananya dipakai sesuai kebutuhan,"" imbuhnya."
"Mahfud Jelaskan soal Hoaks Pernyataan ""Tuntutan Istri Bikin Suami Korupsi""",http://nasional.kompas.com/read/2023/12/22/11011671/mahfud-jelaskan-soal-hoaks-pernyataan-tuntutan-istri-bikin-suami-korupsi,"Calon wakil presiden (cawapres) nomor urut 3, Mahfud MD menjelaskan terkait pernyataannya yang menyebut tuntutan istri menjadi penyebab beberapa pejabat menjadi seorang koruptor. Ia mengatakan, isu yang beredar adalah hoaks atau informasi bohong yang berawal dari salah mengartikan judul pemberitaan. Lalu, telah diklarifikasi sendiri oleh salah satu media. ""Itu hoax karena mereka membaca detik, baca judulnya detik bukan membaca isinya detikcom,"" ujar Mahfud saat ditemui di Menteng, Jakarta Pusat, Jumat (22/12/2023). ""Dan sekarang sudah diralat oleh detik sendiri karena memang judulnya enggak sama dengan isinya,"" katanya lagi. Mahfud mengatakan, ia tidak pernah menyinggung secara langsung bahwa perempuan menjadi penyebab korupsi saat berpidato di Sumatera Barat . Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) justru menyebut pentingnya peran seorang ibu untuk kemajuan bangsa. ""Saya katakan supaya ibu-ibu melanjutkan peran sebagai ibu karena surga itu di telapak kaki ibu, sepak terjang ibu-ibu inilah yang menentukan,"" ujar Mahfud. Dia kemudian mengingatkan agar jangan sampai terjadi di beberapa kasus korupsi seorang laki-laki terjerumus karena istrinya menuntut bermacam-macam hal. ""Saudara kan habis menyebut beberapa pejabat yang bersama istrinya masuk ke penjara, sekarang ini masih bisa disebut, dan itu kasuistik,"" kata Mahfud. Namun secara umum, Mahfud mengatakan, kaum ibu di Indonesia adalah orang-orang yang baik. Sebagian besar justru melahirkan orang-orang hebat. ""Kalau saya mau dianggap hebat, saya lahir dari ibu yang hebat,"" ujar Mahfud."
